date,horaire,team_home,team_away,score,cote1,coteN,cote2
19102017,18:00,Dukla Prague,Slovacko,1 : 1,1.85,2.85,3.25
20102017,18:00,Jihlava,Bohemians 1905,2 : 4,2.20,2.75,2.60
20102017,20:15,Ostrava,Sigma Olomouc ,1 : 1,2.60,2.85,2.15
22102017,17:00,Teplice,Karvina,1 : 0,1.40,3.40,5.25
22102017,18:15,Jablonec,Sparta Prague,0 : 3,2.50,2.75,2.30
22102017,17:00,Plzen,Brno,3 : 0,1.13,5.00,8.75
22102017,18:00,Slavia Prague,Liberec,1 : 2,1.32,3.60,6.25
22102017,18:00,Zlin,Mlada Boleslav,1 : 5,2.15,2.80,2.65
27102017,20:15,Karvina,Plzen,1 : 3,4.20,3.20,1.55
28102017,17:00,Bohemians 1905,Zlin,1 : 1,2.00,2.70,3.05
28102017,17:00,Brno,Dukla Prague,0 : 0,2.05,2.85,2.80
28102017,17:00,Liberec,Jablonec,4 : 1,1.95,2.90,2.95
28102017,17:00,Sigma Olomouc,Teplice,1 : 0,1.70,3.00,3.60
29102017,15:00,Mlada Boleslav,Jihlava,2 : 1,1.30,3.80,6.00
29102017,15:45,Slovacko,Slavia Prague,0 : 3,4.50,3.10,1.52
29102017,18:00,Sparta Prague,Ostrava ,3 : 2,1.30,3.60,6.50
04112017,15:00,Dukla Prague,Karvina,3 : 2,1.75,2.95,3.50
04112017,15:00,Jihlava,Liberec ,3 : 1,2.85,2.85,2.00
04112017,15:00,Ostrava,Mlada Boleslav ,0 : 1,2.45,2.90,2.25
04112017,15:00,Teplice,Slovacko,3 : 0,1.52,3.15,4.50
04112017,18:00,Bohemians 1905,Sigma Olomouc,1 : 1,2.60,2.70,2.25
05112017,14:00,Jablonec,Brno,1 : 0,1.42,3.40,5.00
05112017,16:00,Zlin,Sparta Prague,2 : 2,2.85,2.70,2.10
05112017,18:00,Plzen,Slavia Prague,1 : 0,2.05,2.85,2.75
17112017,15:00,Sparta Prague,Jihlava,1 : 0,1.16,4.40,8.75
18112017,16:00,Brno ,Teplice,1 : 0,2.20,2.75,2.60
18112017,16:00,Liberec,Ostrava,2 : 1,1.52,3.30,4.10
18112017,16:00,Sigma Olomouc,Zlin,2 : 0,1.70,3.00,3.60
18112017,18:00,Slavia Prague,Dukla Prague,5 : 0,1.15,4.50,9.00
18112017,20:00,Slovacko,Plzen,1 : 4,4.40,3.20,1.52
19112017,15:00,Karvina,Jablonec,2 : 1,2.25,2.85,2.45
19112017,15:00,Mlada Boleslav ,Bohemians 1905,1 : 2,1.52,3.10,4.60
25112017,15:00,Teplice,Plzen,0 : 0,3.40,3.05,1.72
25112017,18:00,Sigma Olomouc,Sparta Prague,0 : 0,2.35,2.65,2.50
24112017,18:30,Ostrava,Karvina,2 : 1,1.85,2.90,3.20
26112017,17:30,Jablonec,Slavia Prague,-,3.60,2.90,1.72
26112017,17:30,Zlin,Slovacko,-,1.62,3.00,4.00
30112017,19:30,Slavia Prague,Ostrava,2 : 1,1.12,4.90,9.75
02122017,18:00,Sparta Prague,Mlada Boleslav,3 : 0,1.45,3.25,4.80
01122017,15:00,Brno,Zlin ,1 : 1,2.20,2.70,2.70
01122017,15:00,Dukla Prague ,Teplice,0 : 2,2.05,2.80,2.80
01122017,15:00,Karvina,Bohemians 1905,1 : 0,1.90,2.80,3.15
01122017,15:00,Liberec,Sigma Olomouc,1 : 0,1.95,2.85,2.95
01122017,15:00,Slovacko,Jihlava,2 : 1,1.55,3.10,4.30
01122017,19:00,Plzen,Jablonec,2 : 0,1.28,3.90,6.25
