date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,15:00,Bale II,United Zurich,4 : 0,-,-,-
22102017,15:00,Sion II,Kriens,2 : 1,-,-,-
22102017,16:00,Breitenrain,Cham,2 : 2,-,-,-
22102017,16:00,Old Boys,Bavois,2 : 1,-,-,-
22102017,16:00,YF Juventus,Nyonnais,0 : 1,-,-,-
22102017,17:00,Lausanne Ouchy,Bruhl SG,2 : 0,-,-,-
22102017,17:30,La Chaux-De-Fonds,Koniz,0 : 1,-,-,-
22102017,17:30,Yverdon,Zurich II,3 : 1,-,-,-
28102017,16:00,Breitenrain,Bale II,2 : 2,-,-,-
28102017,16:00,Cham,Zurich II,2 : 0,-,-,-
28102017,16:00,Koniz,Lausanne Ouchy,4 : 1,-,-,-
28102017,16:00,United Zurich,YF Juventus,0 : 6,-,-,-
28102017,16:30,Bruhl SG,Old Boys,2 : 2,-,-,-
28102017,17:00,Bavois,Yverdon,4 : 1,-,-,-
28102017,18:00,Kriens,La Chaux-De-Fonds,3 : 1,-,-,-
29102017,15:00,Nyonnais,Sion II,2 : 2,-,-,-
