date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:30,Darmstadt,Nurnberg,3 : 4,2.60,3.40,2.60
20102017,18:30,Dusseldorf,Darmstadt,1 : 0,1.58,3.50,4.00
20102017,18:30,Ingolstadt,Heidenheim,3 : 0,1.45,3.50,5.25
22102017,13:00,Braunschweig,Bochum,1 : 0,2.10,3.00,2.80
22102017,13:00,Kiel,Bielefeld,2 : 1,1.45,3.75,4.80
22102017,13:00,Union Berlin,Furth,3 : 1,1.58,3.30,4.30
22102017,20:30,Sandhausen,St. Pauli,0 : 0,2.40,2.70,2.60
22102017,13:30,Aue ,Regensburg,1 : 0,2.05,3.00,2.90
22102017,13:30,Kaiserslautern,Duisburg,0 : 1,2.30,2.90,2.55
22102017,13:30,Nurnberg,Dresden ,2 : 1,1.82,3.20,3.25
23102017,20:30,Sandhausen,St. Pauli,1 : 1,2.40,2.70,2.60
27102017,18:30,Bielefeld ,Ingolstadt ,1 : 3,3.40,3.10,1.80
27102017,18:30,St. Pauli,Aue,1 : 1,1.85,2.90,3.50
28102017,13:00,Darmstadt,Kiel,1 : 1,3.05,3.25,1.88
28102017,13:00,Furth,Sandhausen,2 : 1,2.30,2.75,2.70
28102017,13:00,Regensburg,Kaiserslautern,3 : 1,2.00,2.95,3.05
29102017,13:30,Duisburg,Union Berlin,1 : 1,2.65,3.05,2.15
29102017,13:30,Heidenheim,Nurnberg,1 : 0,2.70,3.10,2.10
29102017,16:00,Dresden,Braunschweig,1 : 1,1.90,3.05,3.15
30102017,20:30,Bochum,Dusseldorf,0 : 0,2.62,3.25,2.62
04112017,13:00,Braunschweig,Darmstadt,2 : 2,1.90,3.05,3.15
04112017,13:00,Regensburg,Furth,3 : 2,2.20,3.00,2.65
04112017,13:00,Union Berlin,St. Pauli,1 : 0,1.68,3.20,3.80
05112017,13:30,Aue,Bielefeld,1 : 1,2.15,2.85,2.80
05112017,13:30,Dusseldorf ,Heidenheim,2 : 2,1.65,3.20,4.00
05112017,13:30,Kiel,Dresden,3 : 0,1.42,3.80,4.90
03112017,18:30,Kaiserslautern,Bochum,0 : 0,2.70,2.85,2.25
03112017,18:30,Sandhausen,Duisburg,0 : 1,2.15,2.85,2.80
06112017,20:30,Nurnberg,Ingolstadt,1 : 2,2.65,3.05,2.15
06112017,20:30,Nurnberg,Ingolstadt,1 : 2,2.65,3.05,2.15
17112017,18:30,Bielefeld,Braunschweig,2 : 2,2.30,2.95,2.50
17112017,18:30,Darmstadt,Sandhausen,1 : 2,2.40,2.75,2.55
18112017,13:00,Bochum,Furth,1 : 1,1.80,3.10,3.40
18112017,13:00,Heidenheim,Union Berlin,4 : 3,2.75,3.05,2.10
18112017,13:00,Nurnberg,Kiel,2 : 2,2.90,3.20,1.95
19112017,13:30,Duisburg,Aue,3 : 0,1.95,2.95,3.10
19112017,13:30,Ingolstadt,Dusseldorf,1 : 0,1.60,3.25,4.25
19112017,13:30,St. Pauli,Regensburg,2 : 2,1.75,3.10,3.60
20112017,20:30,Dresden,Kaiserslautern,1 : 2,1.80,2.95,3.60
25112017,13:30,Aue,Bochum,1 : 1,2.50,2.75,2.45
25112017,13:30,Furth,St. Pauli ,4 : 0,2.55,2.80,2.40
25112017,13:30,Kaiserslautern,Bielefeld,0 : 2,2.30,2.85,2.60
24112017,13:00,Braunschweig,Nurnberg,2 : 3,2.20,3.00,2.60
24112017,13:00,Kiel,Ingolstadt,0 : 0,2.00,3.10,2.85
24112017,13:00,Regensburg,Duisburg,4 : 0,2.30,3.00,2.50
26112017,20:30,Dusseldorf,Dresden,-,1.78,3.15,3.40
30112017,18:30,Bielefeld,St. Pauli,4 : 0,2.50,2.80,2.40
30112017,18:30,Heidenheim,Kaiserslautern ,2 : 2,1.85,2.95,3.40
