date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,14:00,Greve,Middelfart,3 : 0,-,-,-
22102017,14:00,Marienlyst,Avarta,3 : 4,-,-,-
22102017,15:00,Kolding,Dalum IF,1 : 2,-,-,-
22102017,15:00,Næsby,Hellerup,2 : 3,-,-,-
28102017,15:00,Avarta,Kolding,1 : 1,-,-,-
28102017,15:00,Dalum IF,Hellerup,0 : 2,-,-,-
28102017,15:00,Marienlyst,Greve,0 : 0,-,-,-
28102017,15:00,Middelfart,Næsby,4 : 0,-,-,-
04112017,14:00,Greve,Avarta,1 : 1,-,-,-
04112017,14:00,Hellerup,Middelfart,0 : 0,-,-,-
04112017,14:00,Kolding,Marienlyst,2 : 0,-,-,-
04112017,14:00,Næsby,Dalum IF,1 : 4,-,-,-
