date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,15:00,Dragovoljac,Novigrad ,2 : 1,-,-,-
20102017,15:00,Gorica,Sibenik,1 : 0,-,-,-
22102017,15:00,Kustosija,Varazdin,1 : 0,-,-,-
22102017,15:00,Lucko,Dugopolje,0 : 0,-,-,-
22102017,15:00,Solin,Din. Zagreb 2,0 : 3,-,-,-
22102017,15:00,Hajduk Split 2 ,Sesvete,1 : 1,-,-,-
28102017,15:00,Dugopolje,Gorica,1 : 1,-,-,-
28102017,15:00,Novigrad,Lucko,0 : 0,-,-,-
28102017,15:00,Varazdin,Dragovoljac,0 : 2,-,-,-
29102017,13:00,Din. Zagreb 2,Hajduk Split 2,1 : 2,-,-,-
29102017,14:00,Sesvete,Kustosija,2 : 0,-,-,-
29102017,16:00,Sibenik,Solin,1 : 1,-,-,-
04112017,13:00,Solin,Dugopolje ,0 : 1,-,-,-
04112017,14:00,Gorica,Novigrad,5 : 2,-,-,-
04112017,14:00,Kustosija,Din. Zagreb 2,0 : 1,-,-,-
04112017,14:00,Lucko ,Dragovoljac,1 : 1,-,-,-
04112017,14:00,Sesvete,Varazdin,3 : 2,-,-,-
05112017,14:00,Hajduk Split 2,Sibenik,0 : 1,-,-,-
10112017,13:30,Dragovoljac,Gorica,1 : 0,-,-,-
11112017,13:30,Din. Zagreb 2,Sesvete,0 : 2,-,-,-
11112017,13:30,Novigrad,Solin,2 : 0,-,-,-
11112017,13:30,Sibenik,Kustosija,1 : 0,-,-,-
11112017,13:30,Varazdin,Lucko,1 : 0,-,-,-
18112017,13:00,Kustosija,Dugopolje,2 : 1,-,-,-
18112017,13:30,Din. Zagreb 2,Varazdin,1 : 2,-,-,-
18112017,13:30,Gorica,Lucko ,1 : 1,-,-,-
18112017,13:30,Hajduk Split 2,Novigrad,5 : 1,-,-,-
18112017,13:30,Sesvete,Sibenik,2 : 2,-,-,-
18112017,13:30,Solin,Dragovoljac,4 : 1,-,-,-
22112017,13:30,Dugopolje,Hajduk Split 2,2 : 0,-,-,-
24112017,13:00,Varazdin,Gorica,3 : 0,-,-,-
24112017,13:30,Dragovoljac,Hajduk Split 2,1 : 0,-,-,-
24112017,13:30,Dugopolje,Sesvete,0 : 1,-,-,-
24112017,13:30,Lucko,Solin,1 : 3,-,-,-
24112017,13:30,Novigrad,Kustosija,0 : 2,-,-,-
24112017,13:30,Sibenik,Din. Zagreb 2,0 : 0,-,-,-
