date,horaire,team_home,team_away,score,cote1,coteN,cote2
25102017,13:00,Utenis,Suduva,1 : 2,5.50,3.60,1.35
25102017,17:00,Trakai,Jonava,2 : 1,1.20,4.25,7.25
26102017,17:00,Atlantas,Zalgiris,0 : 3,4.75,3.30,1.45
29102017,12:00,Jonava,Utenis ,3 : 0,2.10,2.85,2.65
29102017,14:00,Suduva,Atlantas,1 : 0,1.23,3.90,7.75
31102017,17:00,Zalgiris,Trakai,1 : 0,1.70,3.00,3.60
04112017,12:00,Zalgiris,Jonava ,2 : 4,1.10,5.50,10.50
04112017,14:00,Atlantas,Utenis,2 : 2,1.85,2.95,3.15
04112017,17:00,Trakai,Suduva,1 : 0,2.80,2.90,2.00
12112017,14:00,Trakai,Atlantas,2 : 2,1.27,3.70,7.25
12112017,14:00,Trakai,Atlantas,2 : 2,1.27,3.70,7.25
15112017,17:00,Suduva,Jonava,2 : 1,1.14,4.90,8.25
15112017,19:00,Zalgiris,Utenis,5 : 2,1.11,5.50,9.75
