date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,10:50,Adelaide United,Melbourne Victory,2 : 2,-,-,-
22102017,08:35,Melbourne City,Wellington Phoenix,1 : 0,-,-,-
22102017,10:50,Sydney FC,WS Wanderers,2 : 2,-,-,-
22102017,08:00,Brisbane Roar,Newcastle Jets,1 : 2,-,-,-
22102017,10:00,Perth Glory,Central Coast Mariners,2 : 1,-,-,-
27102017,10:50,Sydney FC,Perth Glory,2 : 0,-,-,-
28102017,08:35,Wellington Phoenix,Brisbane Roar,3 : 3,-,-,-
28102017,10:50,Adelaide United,Melbourne City ,0 : 2,-,-,-
29102017,07:00,Newcastle Jets,WS Wanderers,1 : 1,-,-,-
29102017,09:00,Central Coast Mariners,Melbourne Victory,1 : 1,-,-,-
04112017,09:50,Newcastle Jets,Wellington Phoenix,3 : 0,-,-,-
04112017,12:00,Perth Glory,Adelaide United,1 : 0,-,-,-
05112017,07:00,Brisbane Roar,Central Coast Mariners,0 : 0,-,-,-
03112017,09:50,Melbourne City,Sydney FC,0 : 1,-,-,-
06112017,09:50,Melbourne Victory ,WS Wanderers,1 : 1,-,-,-
06112017,09:50,Melbourne Victory ,WS Wanderers,1 : 1,-,-,-
10112017,09:50,Central Coast Mariners ,Sydney FC,2 : 0,-,-,-
11112017,07:35,Adelaide United,Newcastle Jets,1 : 2,-,-,-
11112017,09:50,Melbourne Victory,Brisbane Roar,1 : 1,-,-,-
12112017,04:30,Wellington Phoenix,Perth Glory,5 : 2,-,-,-
12112017,09:00,Melbourne City,WS Wanderers,1 : 1,-,-,-
12112017,04:30,Wellington Phoenix,Perth Glory,5 : 2,-,-,-
12112017,09:00,Melbourne City,WS Wanderers,1 : 1,-,-,-
16112017,09:50,Central Coast Mariners,Adelaide United,1 : 2,-,-,-
17112017,09:50,Brisbane Roar,Melbourne City,3 : 1,-,-,-
18112017,07:35,WS Wanderers,Wellington Phoenix,-,-,-,-
18112017,09:50,Sydney FC,Newcastle Jets,2 : 1,-,-,-
19112017,09:00,Perth Glory,Melbourne Victory,0 : 2,-,-,-
23112017,09:50,Newcastle Jets,Melbourne Victory ,4 : 1,-,-,-
25112017,09:00,Adelaide United ,WS Wanderers ,2 : 0,-,-,-
24112017,07:35,Wellington Phoenix,Central Coast Mariners,1 : 4,-,-,-
24112017,09:50,Sydney FC ,Brisbane Roar ,3 : 1,-,-,-
30112017,09:50,Adelaide United,Sydney FC,0 : 1,-,-,-
02122017,04:30,Wellington Phoenix,Melbourne Victory,2 : 3,-,-,-
02122017,07:00,Central Coast Mariners,Perth Glory,1 : 0,-,-,-
01122017,07:35,WS Wanderers,Brisbane Roar,0 : 2,-,-,-
01122017,09:50,Newcastle Jets,Melbourne City,1 : 2,-,-,-
