date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,14:00,Vittsjo F,Hammarby F,0 : 0,-,-,-
29102017,14:00,Kvarnsvedens F,Linköpings F,0 : 0,-,-,-
29102017,14:00,Rosengard F,Pitea F,0 : 0,-,-,-
29102017,15:00,Eskilstuna United F,Göteborg F,1 : 5,-,-,-
29102017,15:00,Kristianstads F,Bunkeflo F ,2 : 0,-,-,-
30102017,19:00,�rebro F,Djurgarden F,0�:�3,3.10,4.00,1.90
04112017,14:00,Kvarnsvedens F,Rosengard F,1 : 3,-,-,-
04112017,15:00,Linköpings F,Eskilstuna United F,0 : 6,-,-,-
04112017,15:00,Vittsjo F,Örebro F,2 : 2,-,-,-
05112017,14:00,Pitea F,Bunkeflo F,4 : 1,-,-,-
05112017,15:00,Göteborg F,Djurgarden F,1 : 0,-,-,-
05112017,15:00,Hammarby F,Kristianstads F ,1 : 1,-,-,-
12112017,15:30,Bunkeflo F,Linköpings F,0 : 1,-,-,-
12112017,15:30,Djurgarden F,Pitea F,1 : 5,-,-,-
12112017,15:30,Eskilstuna United F,Vittsjo F,2 : 1,-,-,-
12112017,15:30,Kristianstads F,Kvarnsvedens F,5 : 2,-,-,-
12112017,15:30,Örebro F,Göteborg F,0 : 1,-,-,-
12112017,15:30,Rosengard F,Hammarby F,0 : 1,-,-,-
12112017,15:30,Bunkeflo F,Linköpings F,0 : 1,-,-,-
12112017,15:30,Djurgarden F,Pitea F,1 : 5,-,-,-
12112017,15:30,Eskilstuna United F,Vittsjo F,2 : 1,-,-,-
12112017,15:30,Kristianstads F,Kvarnsvedens F,5 : 2,-,-,-
12112017,15:30,Örebro F,Göteborg F,0 : 1,-,-,-
12112017,15:30,Rosengard F,Hammarby F,0 : 1,-,-,-
