date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,15:30,Pune City (Ind),Chanmari (Ind),5 : 0,1.50,3.75,6.00
16102017,18:00,Real Murcia B (Esp),Goa (Ind),2 : 1,1.80,3.75,3.40
17102017,15:00,Sindjelic Beograd (Srb),Cukaricki (Srb),0 : 6,-,-,-
18102017,16:00,Grasshoppers (Sui),Aarau (Sui),3 : 3,-,-,-
18102017,19:00,Langreo (Esp),R. Oviedo (Esp),0 : 2,-,-,-
27102017,11:30,Levante B (Esp),Mumbai City (Ind),2 : 2,-,-,-
31102017,11:30,Elche B (Esp) ,Mumbai City (Ind),2 : 1,-,-,-
31102017,16:30,PSV -19 (Ned),Genk -19 (Bel),5 : 0,-,-,-
31102017,19:00,Casa Sports (Sen),Jaraaf (Sen),1 : 3,-,-,-
31102017,19:00,Morbio (Sui),Chiasso (Sui),0 : 7,-,-,-
31102017,21:00,Ndiambour (Sen),Ports Authority (Gam),-,-,-,-
31102017,22:00,CD Igara Cabo Blanco (Esp),CD Buzanada (Esp),1 : 1,-,-,-
31102017,23:00,Dakar SC (Sen),Diambars (Sen),-,-,-,-
08112017,13:00,Sparta Rotterdam (Ned),Volendam (Ned),4 : 0,-,-,-
08112017,13:30,Dinamo Pancevo (Srb),Rad (Srb),3 : 1,-,-,-
08112017,13:30,TOSK Tesanj (Bih),Sarajevo (Bih),0 : 4,-,-,-
08112017,15:00,Groningen (Ned),Munster (Ger) ,4 : 1,-,-,-
08112017,16:00,Dusseldorf (Ger),Fortuna Koln (Ger),1 : 3,-,-,-
08112017,16:00,Monchengladbach (Ger),Bielefeld (Ger),4 : 1,-,-,-
08112017,17:00,Paphos (Cyp),AEL Limassol (Cyp),5 : 2,-,-,-
08112017,20:30,Haladas (Hun),Osijek (Cro) ,3 : 1,-,-,-
09112017,13:00,Wolfsburg (Ger),Twente (Ned),2 : 1,-,-,-
09112017,14:00,Al Ahli (Jor),Al Wehdat (Jor),-,-,-,-
09112017,14:30,Chievo (Ita),Mantova (Ita),6 : 0,-,-,-
09112017,15:00,A. Lustenau (Aut),Wil (Sui),2 : 0,-,-,-
09112017,15:00,Leverkusen (Ger),Duisburg (Ger),3 : 3,-,-,-
09112017,15:00,Thoi Lakatamias (Cyp),APOEL (Cyp),2 : 5,-,-,-
09112017,15:00,Torino (Ita),Chieri (Ita),3 : 0,-,-,-
09112017,15:30,Mattersburg (Aut),Trencin (Svk),5 : 2,-,-,-
09112017,17:00,Bremen (Ger),Heerenveen (Ned),2 : 2,-,-,-
09112017,18:00,Mainz (Ger),Dudelange (Lux),3 : 5,-,-,-
09112017,18:00,Union Berlin (Ger),Horsens (Den),1 : 1,-,-,-
10112017,10:00,Karmiotissa (Cyp),Doxa (Cyp),3 : 6,-,-,-
10112017,11:00,Austria Vienne (Aut),Brest (Blr),3 : 2,-,-,-
10112017,11:00,Dukla Prague (Cze),Olympia Prague (Cze),5 : 3,-,-,-
10112017,11:00,Neman (Blr),Jagiellonia (Pol),2 : 0,-,-,-
10112017,11:00,Termalica B-B. (Pol),Sandecja (Pol),3 : 1,-,-,-
10112017,14:00,Altach (Aut),Vaduz (Lie),3 : 1,-,-,-
10112017,15:00,Frankfurt (Ger),Sandhausen (Ger),5 : 3,-,-,-
10112017,15:00,Luzern (Sui),Chiasso (Sui),0 : 3,-,-,-
10112017,15:00,Nea Salamis (Cyp),Anagennisi (Cyp),4 : 2,-,-,-
10112017,16:00,AEL Limassol (Cyp),Ufa (Rus),2 : 3,-,-,-
10112017,16:00,Ceahlaul (Rou),Botosani (Rou),0 : 0,-,-,-
10112017,17:00,Ried (Aut),Mas Taborsko (Cze),1 : 3,-,-,-
10112017,17:30,Sturm Graz (Aut),Hartberg (Aut),2 : 1,-,-,-
10112017,18:30,Eilenburg (Ger),Chemnitzer (Ger),0 : 1,-,-,-
10112017,19:00,CS U. Craiova (Rou),Slavia Prague (Cze),0 : 4,-,-,-
10112017,19:00,Erfurt (Ger),Dresden (Ger),1 : 2,-,-,-
10112017,19:00,St. Pauli (Ger),Odense (Den),3 : 1,-,-,-
10112017,19:30,Luckenwalde (Ger),Brandenburger (Ger),-,-,-,-
11112017,11:00,Arsenal Tula (Rus),Din. Minsk (Blr),3 : 1,-,-,-
11112017,11:00,Debrecen (Hun),Mezokovesd (Hun),1 : 2,-,-,-
11112017,11:00,LASK Linz (Aut),Liefering (Aut),3 : 1,-,-,-
11112017,11:00,Lechia (Pol),B. Gdynia (Pol),5 : 0,-,-,-
11112017,11:00,Vojvodina (Srb),Macva (Srb),0 : 2,-,-,-
11112017,12:00,Concordia (Rou),Dunav Ruse (Bul),0 : 2,-,-,-
11112017,12:00,Kayserispor (Tur),Gaziantep (Tur),2 : 1,-,-,-
11112017,12:00,Naftan (Blr),Vitebsk (Blr),0 : 4,-,-,-
11112017,12:00,Wisla (Pol),Slask (Pol),0 : 1,-,-,-
11112017,13:00,Besiktas (Tur),Astra (Rou),1 : 1,-,-,-
11112017,13:00,Helmond (Ned),Bochum (Ger),0 : 0,-,-,-
11112017,13:30,Videoton (Hun),Belupo (Cro),2 : 2,-,-,-
11112017,14:00,Lok. Zagreb (Cro),Domzale (Slo),0 : 2,-,-,-
11112017,15:00,Galatasaray (Tur),Umraniyespor (Tur),3 : 2,-,-,-
11112017,15:00,Udinese (Ita),Gorica (Slo),4 : 1,-,-,-
12112017,11:00,Gomel (Blr),Dnepr Mogilev (Blr),3 : 1,-,-,-
12112017,12:00,Alanyaspor (Tur),Karabukspor (Tur),0 : 0,-,-,-
12112017,12:00,Amkar (Rus),Ural (Rus),1 : 2,-,-,-
12112017,12:00,Trabzonspor (Tur),Naft Missan (Irq),4 : 0,-,-,-
12112017,13:00,Javor (Srb),Decic (Mne),-,-,-,-
12112017,13:30,Altinordu (Tur),Akhisar Belediye (Tur),0 : 3,-,-,-
12112017,15:00,Konyaspor (Tur),Genclerbirligi (Tur),2 : 1,-,-,-
12112017,22:00,Cibao (Dom),Atlantico (Dom),2 : 2,-,-,-
12112017,12:00,Vorskla (Ukr),Sumy (Ukr),5 : 2,-,-,-
12112017,18:30,Bremen (Ger),BSV Rehden (Ger),4 : 1,-,-,-
12112017,11:00,Gomel (Blr),Dnepr Mogilev (Blr),3 : 1,-,-,-
12112017,12:00,Alanyaspor (Tur),Karabukspor (Tur),0 : 0,-,-,-
12112017,12:00,Amkar (Rus),Ural (Rus),1 : 2,-,-,-
12112017,12:00,Trabzonspor (Tur),Naft Missan (Irq),4 : 0,-,-,-
12112017,13:00,Javor (Srb),Decic (Mne),-,-,-,-
12112017,13:30,Altinordu (Tur),Akhisar Belediye (Tur),0 : 3,-,-,-
12112017,15:00,Konyaspor (Tur),Genclerbirligi (Tur),2 : 1,-,-,-
12112017,22:00,Cibao (Dom),Atlantico (Dom),2 : 2,-,-,-
13112017,12:00,Vorskla (Ukr),Sumy (Ukr),5 : 2,-,-,-
13112017,18:30,Bremen (Ger),BSV Rehden (Ger),4 : 1,-,-,-
14112017,09:00,Ashkelon (Isr),Beitar Shimshon (Isr),3 : 4,-,-,-
14112017,11:30,Belupo (Cro),Varazdin (Cro),3 : 1,-,-,-
14112017,15:00,Grasshoppers (Sui),Wohlen (Sui),3 : 3,-,-,-
