date,horaire,team_home,team_away,score,cote1,coteN,cote2
19102017,20:30,Autriche F,Pays-Bas F,0 : 2,3.30,3.00,1.78
20102017,02:30,USA F,Corée du Sud F,3 : 1,1.10,5.25,10.00
20102017,21:00,France F,Angleterre F,1 : 0,1.95,2.70,3.15
22102017,18:00,Pologne F,Grèce F,3 : 0,-,-,-
22102017,21:00,France F,Ghana F,-,1.01,15.00,35.00
22102017,20:00,USA F,Corée du Sud F,6 : 0,1.09,5.25,10.50
23102017,18:00,Pologne F,Grèce F,3 : 0,-,-,-
23102017,21:00,France F,Ghana F,8 : 0,1.01,15.00,35.00
24102017,13:35,Chine F,Brésil F,2 : 2,-,-,-
10112017,04:00,Canada F,USA F,1 : 1,4.80,3.40,1.42
12112017,03:00,USA F,Canada F,3 : 1,1.32,3.75,5.50
13112017,03:00,USA F,Canada F,3 : 1,1.32,3.75,5.50
22112017,09:30,Australie F,Chine F,3 : 0,1.25,4.10,6.50
26112017,21:00,France F,Suède F,-,1.35,3.70,5.50
27112017,11:00,Thaïlande F,Nouvelle-Zélande F,0 : 5,4.30,3.30,1.50
27112017,19:00,Canada F,Norvège F,3 : 2,1.95,2.80,3.05
28112017,00:00,Chile F,Brésil F,0 : 3,-,-,-
