date,horaire,team_home,team_away,score,cote1,coteN,cote2
25102017,01:00,Grenade,Panama,0 : 5,-,-,-
29102017,01:00,Bermudes,Barbade,2 : 3,-,-,-
07112017,18:00,Arabie Saoudite,Lettonie,2 : 0,-,-,-
08112017,15:30,Congo,Benin,1 : 1,-,-,-
08112017,15:45,Islande,République Tchèque,1 : 2,2.40,2.80,2.60
08112017,20:00,Angleterre -17,Portugal -17 ,3 : 2,-,-,-
09112017,01:30,Nicaragua,République Dominicaine,0 : 3,-,-,-
09112017,11:00,Autriche -18,Pologne -18,0 : 1,-,-,-
09112017,12:30,Cambodge,Birmanie,1 : 2,-,-,-
09112017,12:30,Singapour,Liban,0 : 1,-,-,-
09112017,13:00,Hong Kong,Bahreïn,0 : 2,-,-,-
09112017,14:00,Belgique -18,Irlande -18,3 : 0,-,-,-
09112017,15:00,Arménie,Biélorussie,4 : 1,-,-,-
09112017,16:00,Pays-Bas -19,Italie -19,2 : 1,-,-,-
09112017,18:00,Finlande,Estonie,3 : 0,-,-,-
09112017,18:00,Pays-Bas -18,République Tchèque -18,1 : 4,-,-,-
09112017,19:15,Roumanie,Turquie,2 : 0,2.30,2.95,2.95
09112017,19:30,Iran,Panama,2 : 1,2.15,3.00,2.75
09112017,20:00,Luxembourg,Hongrie ,2 : 1,-,-,-
09112017,20:45,Ecosse,Pays-Bas,0 : 1,3.70,3.20,1.90
10112017,10:30,Biélorussie -21,Lituanie -21,0 : 0,-,-,-
10112017,12:00,Corée du Sud,Colombie,2 : 1,-,-,-
10112017,12:35,Chine,Serbie,0 : 2,-,-,-
10112017,13:00,Japon,Brésil,1 : 3,11.00,5.50,1.19
10112017,13:55,Emirats Arabes Unis,Haïti,0 : 1,-,-,-
10112017,14:00,Géorgie,Chypre,1 : 0,-,-,-
10112017,19:00,Ukraine,Slovaquie,2 : 1,2.00,3.00,3.70
10112017,20:45,Belgique,Mexique,3 : 3,1.42,4.20,6.00
10112017,20:45,Pologne,Uruguay,0 : 0,2.50,3.00,2.65
10112017,21:00,Angleterre,Allemagne,0 : 0,3.60,3.40,1.85
10112017,21:00,France,Pays de Galles,2 : 0,1.22,5.75,15.00
10112017,21:45,Portugal,Arabie Saoudite,3 : 0,-,-,-
