date,horaire,team_home,team_away,score,cote1,coteN,cote2
10112017,13:45,Emirates Club,Dibba Al Fujairah,0 : 0,-,-,-
10112017,13:45,Hatta,Ajman ,0 : 0,-,-,-
10112017,16:30,Al Nasr,Al-Jazira,0 : 3,-,-,-
11112017,13:50,Al Sharjah,Al-Wahda,1 : 1,-,-,-
11112017,13:50,Al-Ain,Al Dhafra,7 : 1,-,-,-
11112017,16:30,Al Wasl,Al-Ahli Dubai,2 : 2,-,-,-
21122017,13:45,Dibba Al Fujairah ,Al-Ahli Dubai,1 : 4,-,-,-
21122017,13:45,Emirates Club ,Al-Wahda,2 : 4,-,-,-
21122017,16:30,Al Wasl,Al Sharjah,3 : 4,-,-,-
20122017,13:50,Ajman,Al-Jazira,0 : 1,-,-,-
20122017,13:50,Hatta,Al Dhafra,1 : 2,-,-,-
20122017,16:30,Al Nasr,Al-Ain,3 : 0,-,-,-
