date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,18:00,Berkane,FUS Rabat,-,-,-,-
20102017,18:00,FAR Rabat,Difaa El Jadidi ,1 : 2,2.30,2.70,2.70
20102017,18:00,Moghreb Tetouan,Wydad,-,-,-,-
20102017,20:00,Marrakech,Tanger,2 : 2,3.00,2.60,2.15
22102017,16:00,Chabab Rif Hoceima,Rapide Oued Zem,1 : 2,2.15,2.75,2.85
22102017,18:00,Berkane,Wydad,-,-,-,-
22102017,18:00,Chabab Rif Hoceima,Difaa El Jadidi,-,-,-,-
22102017,18:00,FAR Rabat,Moghreb Tetouan,-,-,-,-
22102017,18:00,Khouribga,FUS Rabat,-,-,-,-
22102017,18:00,Marrakech,Safi,-,-,-,-
22102017,18:00,RAC Casablanca,Rapide Oued Zem,-,-,-,-
22102017,18:00,Raja Casablanca,Chabab Atlas Khenifra,-,-,-,-
22102017,18:00,Tanger,Agadir,-,-,-,-
22102017,20:30,Raja Casablanca,Agadir,0 : 0,1.38,3.60,5.75
22102017,16:00,RAC Casablanca,Chabab Atlas Khenifra,1 : 1,2.80,2.70,2.20
22102017,18:00,Khouribga,Safi,2 : 2,1.80,2.75,3.80
23102017,20:30,Raja Casablanca,Agadir,2 : 1,1.38,3.60,5.75
28102017,16:00,Chabab Atlas Khenifra,Khouribga,0 : 1,1.90,2.85,3.30
28102017,16:00,FUS Rabat,RAC Casablanca,2 : 0,1.32,3.50,7.25
28102017,16:00,Wydad,Chabab Rif Hoceima,-,-,-,-
28102017,18:00,Agadir,FAR Rabat,-,-,-,-
28102017,18:00,Chabab Atlas Khenifra,Marrakech,-,-,-,-
28102017,18:00,Difaa El Jadidi,Berkane,-,-,-,-
28102017,18:00,FUS Rabat,Raja Casablanca,-,-,-,-
28102017,18:00,Moghreb Tetouan,Chabab Rif Hoceima,-,-,-,-
28102017,18:00,Rapide Oued Zem,Khouribga,-,-,-,-
28102017,18:00,Safi,Tanger,-,-,-,-
28102017,18:00,Wydad,RAC Casablanca,-,-,-,-
28102017,19:00,Agadir,Marrakech,1 : 1,1.55,3.10,4.75
29102017,16:00,Rapide Oued Zem,Berkane,1 : 1,3.00,2.50,2.25
29102017,16:00,Safi,Raja Casablanca,2 : 0,3.50,2.75,1.88
29102017,18:00,Tanger,FAR Rabat,0 : 1,2.15,2.60,3.00
29102017,20:30,Difaa El Jadidi,Moghreb Tetouan ,3 : 0,1.70,2.85,4.20
02112017,16:00,Moghreb Tetouan,FUS Rabat,0 : 2,-,-,-
04112017,16:00,Marrakech,Safi ,1 : 1,2.45,2.60,2.60
04112017,16:00,Tanger,Agadir,2 : 2,2.00,2.65,3.30
04112017,18:00,Agadir,Safi,-,-,-,-
04112017,18:00,Berkane,Moghreb Tetouan,-,-,-,-
04112017,18:00,FAR Rabat,Chabab Rif Hoceima,-,-,-,-
04112017,18:00,Khouribga,Wydad,-,-,-,-
04112017,18:00,Marrakech,FUS Rabat,-,-,-,-
04112017,18:00,RAC Casablanca,Difaa El Jadidi,-,-,-,-
04112017,18:00,Raja Casablanca,Rapide Oued Zem,-,-,-,-
04112017,18:00,Tanger,Chabab Atlas Khenifra,-,-,-,-
05112017,16:00,Chabab Rif Hoceima,Difaa El Jadidi,2 : 2,3.30,2.80,1.90
05112017,16:00,FAR Rabat,Moghreb Tetouan,2 : 0,1.55,2.95,5.25
05112017,18:00,Khouribga,FUS Rabat ,2 : 1,3.10,2.65,2.10
05112017,20:00,Raja Casablanca,Chabab Atlas Khenifra,1 : 2,1.23,3.75,10.00
03112017,16:00,RAC Casablanca,Rapide Oued Zem ,3 : 1,2.70,2.60,2.35
10112017,16:00,Rapide Oued Zem,Wydad,1 : 1,3.75,2.90,1.75
