date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:00,Winterthur ,Rapperswil,0 : 1,1.95,3.50,4.00
20102017,20:00,Vaduz,Xamax,0 : 5,-,-,-
22102017,19:00,Chiasso,Schaffhausen,2 : 1,-,-,-
22102017,19:00,Servette,Rapperswil,2 : 1,-,-,-
22102017,20:00,Aarau,Winterthur,1 : 2,-,-,-
22102017,16:00,Wohlen,Wil,2 : 2,-,-,-
23102017,20:00,Aarau,Winterthur ,3 : 3,-,-,-
28102017,19:00,Rapperswil,Chiasso,1 : 1,-,-,-
28102017,19:00,Schaffhausen,Aarau,4 : 1,-,-,-
29102017,16:00,Winterthur,Vaduz,0 : 1,-,-,-
29102017,16:00,Xamax,Wohlen,4 : 2,-,-,-
30102017,20:00,Wil,Servette,0�:�0,6.00,3.79,1.57
04112017,19:00,Servette,Winterthur,1 : 1,-,-,-
04112017,19:00,Wil,Chiasso,2 : 3,-,-,-
05112017,16:00,Vaduz,Aarau,4 : 1,-,-,-
03112017,20:00,Schaffhausen,Xamax,1 : 2,-,-,-
06112017,20:00,Wohlen,Rapperswil,1 : 2,-,-,-
06112017,20:00,Wohlen,Rapperswil,1 : 2,-,-,-
17112017,20:00,Aarau,Servette ,0 : 0,-,-,-
18112017,19:00,Rapperswil,Xamax,2 : 2,-,-,-
18112017,19:00,Winterthur,Wil,2 : 0,-,-,-
19112017,16:00,Chiasso,Wohlen,4 : 0,-,-,-
20112017,20:00,Vaduz,Schaffhausen,2 : 0,-,-,-
25112017,16:00,Schaffhausen,Servette,1 : 2,-,-,-
24112017,19:00,Chiasso,Winterthur,1 : 1,-,-,-
24112017,19:00,Xamax,Wil,3 : 1,-,-,-
26112017,20:00,Wohlen,Aarau,-,-,-,-
03122017,20:00,Servette,Xamax,1 : 0,-,-,-
02122017,16:00,Vaduz,Wohlen,1 : 1,-,-,-
02122017,16:00,Winterthur,Schaffhausen,0 : 1,-,-,-
01122017,19:00,Aarau ,Chiasso ,3 : 0,-,-,-
01122017,19:00,Wil ,Rapperswil,1 : 0,-,-,-
