date,horaire,team_home,team_away,score,cote1,coteN,cote2
29102017,11:00,Freiburg F,Hoffenheim F,2 : 1,-,-,-
29102017,11:00,Sand F,Koln F,3 : 0,-,-,-
29102017,14:00,Duisburg F,SGS Essen F,1 : 2,-,-,-
29102017,14:00,Jena F,Bayern F,0 : 5,-,-,-
29102017,14:00,Wolfsburg F,Bremen F,3 : 2,-,-,-
30102017,18:00,Potsdam F,Frankfurt F,1�:�1,1.61,4.00,4.33
04112017,13:00,Freiburg F,Wolfsburg F,1 : 0,-,-,-
05112017,11:00,Frankfurt F,Bremen F,4 : 0,-,-,-
05112017,11:00,Hoffenheim F,Sand F,1 : 0,-,-,-
05112017,14:00,Bayern F,Duisburg F,3 : 1,-,-,-
05112017,14:00,Koln F,Jena F,1 : 0,-,-,-
05112017,14:00,SGS Essen F,Potsdam F,0 : 0,-,-,-
