date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,20:30,Schalke 04,Mainz,2 : 0,1.68,3.50,4.60
22102017,15:30,Augsburg,Hannover,1 : 2,1.88,3.30,3.80
22102017,15:30,Frankfurt,Dortmund,2 : 2,3.60,3.40,1.88
22102017,15:30,Monchengladbach,Leverkusen,1 : 5,2.65,3.40,2.35
22102017,15:30,RB Leipzig,Stuttgart,1 : 0,1.40,4.30,6.50
22102017,18:30,Hamburger SV ,Bayern,0 : 1,11.50,6.00,1.18
22102017,13:30,FC Koln,Bremen,0 : 0,2.35,3.20,2.75
22102017,15:30,Freiburg,Hertha,1 : 1,2.75,2.95,2.50
22102017,18:00,Wolfsburg,Hoffenheim,1 : 1,2.45,3.30,2.55
27102017,20:30,Mainz,Frankfurt,1 : 1,2.75,3.10,2.40
28102017,15:30,Hannover,Dortmund ,4 : 2,6.25,4.40,1.40
28102017,15:30,Hertha,Hamburger SV,2 : 1,2.05,3.10,3.50
28102017,15:30,Hoffenheim,Monchengladbach,1 : 3,2.15,3.40,2.95
28102017,15:30,Leverkusen,FC Koln,2 : 1,1.38,4.60,6.50
28102017,15:30,Schalke 04,Wolfsburg,1 : 1,1.78,3.30,4.25
28102017,18:30,Bayern,RB Leipzig ,2 : 0,1.32,4.90,7.25
29102017,15:30,Bremen,Augsburg,0 : 3,2.00,3.25,3.40
29102017,18:00,Stuttgart,Freiburg ,3 : 0,1.78,3.50,4.00
04112017,15:30,Augsburg,Leverkusen,1 : 1,3.10,3.40,2.05
04112017,15:30,Freiburg,Schalke 04,0 : 1,3.60,3.25,1.95
04112017,15:30,Hamburger SV,Stuttgart ,3 : 1,2.60,3.10,2.55
04112017,15:30,Monchengladbach,Mainz,1 : 1,1.55,3.90,5.00
04112017,15:30,RB Leipzig,Hannover,2 : 1,1.42,4.20,6.25
04112017,18:30,Dortmund,Bayern,1 : 3,3.30,3.70,1.90
05112017,15:30,FC Koln,Hoffenheim,0 : 3,2.50,3.30,2.50
05112017,18:00,Wolfsburg,Hertha,3 : 3,1.95,3.15,3.80
03112017,20:30,Frankfurt,Bremen,2 : 1,1.72,3.50,4.30
17112017,20:30,Stuttgart,Dortmund,2 : 1,4.00,3.60,1.72
18112017,15:30,Bayern,Augsburg,3 : 0,1.16,6.25,11.50
18112017,15:30,Hoffenheim,Frankfurt,1 : 1,2.20,3.20,2.90
18112017,15:30,Leverkusen ,RB Leipzig,2 : 2,2.25,3.40,2.70
18112017,15:30,Mainz ,FC Koln,1 : 0,1.85,3.30,3.80
18112017,15:30,Wolfsburg,Freiburg,3 : 1,1.58,3.70,4.90
18112017,18:30,Hertha,Monchengladbach,2 : 4,2.80,3.20,2.25
19112017,15:30,Schalke 04,Hamburger SV,2 : 0,1.65,3.30,4.90
19112017,18:00,Bremen,Hannover,4 : 0,2.10,3.30,3.00
25112017,15:30,Hamburger SV,Hoffenheim,3 : 0,2.40,3.15,2.65
25112017,18:00,FC Koln,Hertha,0 : 0,2.90,3.05,2.30
24112017,15:30,Augsburg,Wolfsburg,2 : 1,2.05,3.15,3.30
24112017,15:30,Dortmund,Schalke 04,4 : 4,1.58,3.90,4.50
24112017,15:30,Frankfurt,Leverkusen,0 : 1,2.35,3.30,2.60
24112017,15:30,Freiburg,Mainz,2 : 1,2.05,3.15,3.25
24112017,15:30,RB Leipzig,Bremen,2 : 0,1.42,4.40,5.75
24112017,18:30,Monchengladbach,Bayern,2 : 1,4.60,3.90,1.58
30112017,20:30,Freiburg,Hamburger SV,-,2.50,3.00,2.65
02122017,15:30,Hertha,Frankfurt,1 : 2,2.40,2.95,2.80
02122017,18:00,Wolfsburg,Monchengladbach,3 : 0,2.40,3.30,2.55
01122017,15:30,Bayern,Hannover,3 : 1,1.08,8.25,17.00
01122017,15:30,Bremen,Stuttgart,1 : 0,2.10,3.30,3.05
01122017,15:30,Hoffenheim,RB Leipzig,4 : 0,3.05,3.50,2.00
01122017,15:30,Leverkusen ,Dortmund,1 : 1,2.15,3.50,2.75
01122017,15:30,Mainz,Augsburg,1 : 3,2.90,3.05,2.30
01122017,18:30,Schalke 04,FC Koln ,2 : 2,1.35,4.25,7.50
09122017,13:30,FC Koln,Freiburg,3 : 4,2.29,3.39,3.10
09122017,15:30,Hannover,Hoffenheim,2 : 0,3.50,3.60,2.04
09122017,18:00,Augsburg,Hertha,1 : 1,2.10,3.29,3.75
08122017,15:30,Dortmund,Bremen,1 : 2,1.39,5.25,7.00
08122017,15:30,Frankfurt,Bayern,0 : 1,7.00,4.75,1.44
08122017,15:30,Hamburger SV,Wolfsburg,0 : 0,2.60,3.39,2.70
08122017,15:30,RB Leipzig,Mainz,2 : 2,1.53,4.20,6.50
08122017,18:30,Monchengladbach,Schalke 04,1 : 1,2.37,3.29,2.89
07122017,20:30,Stuttgart,Leverkusen,0 : 2,3.00,3.60,2.29
11122017,18:30,Wolfsburg,RB Leipzig,1 : 1,2.70,3.20,2.35
11122017,20:30,Freiburg,Monchengladbach,-,2.70,3.15,2.35
11122017,20:30,Hamburger SV,Frankfurt,-,2.25,3.00,3.05
11122017,20:30,Mainz,Dortmund,-,4.75,3.90,1.55
16122017,15:30,Hannover,Leverkusen,4 : 4,4.25,3.70,1.65
16122017,18:00,RB Leipzig,Hertha ,2 : 3,1.55,3.70,5.25
