date,horaire,team_home,team_away,score,cote1,coteN,cote2
03122017,13:00,Ouganda,Burundi,0 : 0,-,-,-
03122017,14:00,Ouganda,Zimbabwe,-,-,-,-
02122017,12:00,Kenya,Rwanda ,2 : 0,-,-,-
02122017,14:00,Libye,Tanzanie,0 : 0,-,-,-
09122017,13:00,Ethiopie,Ouganda ,1 : 1,5.50,3.60,1.57
08122017,12:00,Rwanda,Tanzanie,2 : 1,2.25,3.00,3.20
08122017,14:00,Kenya,Zanzibar,0 : 0,1.66,3.39,5.00
07122017,13:00,Ouganda,Soudan du Sud,5 : 1,1.05,11.00,19.00
07122017,14:00,Zimbabwe,Burundi,-,-,-,-
06122017,12:00,Tanzanie,Zanzibar,1 : 2,1.70,3.60,4.20
06122017,13:00,Burundi,Ethiopie,4 : 1,2.70,3.00,2.60
06122017,14:00,Rwanda,Libye,0 : 0,3.10,3.29,2.14
05122017,12:00,Soudan du Sud,Zimbabwe,-,-,-,-
04122017,12:00,Zanzibar,Rwanda,3 : 1,4.75,3.60,1.61
04122017,13:00,Soudan du Sud,Ethiopie,0 : 3,3.75,3.50,1.85
04122017,14:00,Kenya,Libye,0 : 0,2.37,3.10,2.87
03122017,13:00,Ouganda,Burundi,0 : 0,1.55,3.39,5.75
03122017,14:00,Ouganda,Zimbabwe,-,-,-,-
10122017,12:00,Libye,Zanzibar,1 : 0,2.87,3.00,2.60
10122017,13:00,Soudan du Sud,Burundi,0 : 0,11.00,5.50,1.22
10122017,14:00,Kenya,Tanzanie,1 : 0,1.60,3.50,5.75
11122017,12:00,Zimbabwe,Ethiopie,-,-,-,-
