date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,10:30,Birmanie -19,Philippines -19,6 : 0,-,-,-
24102017,13:30,Chine -19,Cambodge -19,1 : 0,-,-,-
26102017,10:30,Philippines -19,Chine -19,0 : 6,-,-,-
26102017,13:30,Cambodge -19,Birmanie -19,3 : 2,-,-,-
28102017,10:30,Chine -19,Birmanie -19,1 : 0,-,-,-
28102017,13:30,Philippines -19,Cambodge -19,0 : 0,-,-,-
31102017,04:00,Timor Oriental -19,Malaisie -19,1 : 3,-,-,-
31102017,07:00,Indonésie -19,Brunei -19,5 : 0,-,-,-
31102017,07:00,Kyrgyzstan -19,Népal -19,2 : 0,-,-,-
31102017,10:00,Maldives -19,Sri Lanka -19,2 : 2,-,-,-
31102017,12:00,Oman -19,Emirats Arabes Unis -19,1 : 5,-,-,-
31102017,13:00,Bangladesh -19,Tadjikistan -19,0 : 0,-,-,-
