date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:30,Acassuso,Comunicaciones,2 : 0,-,-,-
17102017,20:35,Barracas Central,Deportivo Espanol ,0 : 0,-,-,-
18102017,01:05,Platense ,UAI Urquiza ,0 : 1,-,-,-
18102017,20:30,CA Estudiantes,San Miguel,4 : 0,-,-,-
18102017,20:30,Def. de Belgrano,Colegiales,1 : 0,-,-,-
18102017,20:30,Fenix,Villa San Carlos,3 : 1,-,-,-
18102017,20:30,Sacachispas ,San Telmo,1 : 0,-,-,-
18102017,20:35,Tristan Suarez,Almirante Brown,3 : 0,-,-,-
18102017,22:00,Talleres (R.E),Atletico Atlanta,-,-,-,-
23102017,20:30,Comunicaciones,San Miguel,0 : 0,-,-,-
24102017,20:30,Atletico Atlanta,Platense,2 : 1,-,-,-
28102017,18:05,Atletico Atlanta,Def. de Belgrano ,2 : 0,-,-,-
28102017,20:30,Colegiales,Sacachispas ,3 : 3,-,-,-
28102017,20:30,Comunicaciones,Fenix,0 : 3,-,-,-
28102017,20:30,Deportivo Espanol ,Talleres (R.E),2 : 2,-,-,-
30102017,19:05,San Miguel,Tristan Suarez,2�:�2,2.75,3.00,2.50
30102017,19:30,Almirante Brown�,Barracas Central,0�:�0,3.00,3.00,2.37
30102017,19:30,San Telmo,Acassuso,0�:�1,1.95,3.00,4.00
30102017,19:30,Villa San Carlos,UAI Urquiza,2�:�3,3.20,3.10,2.20
02112017,01:05,CA Estudiantes,Platense,2 : 1,-,-,-
04112017,17:05,Tristan Suarez ,CA Estudiantes,0 : 2,-,-,-
04112017,19:30,Barracas Central,San Miguel,2 : 2,-,-,-
04112017,19:30,Platense,Villa San Carlos,1 : 1,-,-,-
04112017,19:30,UAI Urquiza,Comunicaciones,0 : 1,-,-,-
05112017,18:30,Sacachispas,Atletico Atlanta,0 : 3,-,-,-
05112017,19:30,Acassuso,Colegiales,5 : 0,-,-,-
