date,horaire,team_home,team_away,score,cote1,coteN,cote2
18102017,11:30,Sri Lanka Army,Moragasmulla,-,-,-,-
22102017,11:30,Air Force,UP Country Lions,-,-,-,-
22102017,11:30,Police,New Young's SC,0 : 7,-,-,-
22102017,11:30,Super Sun,Negombo Youth,-,-,-,-
22102017,11:30,Blue Star,Pelicans SC,2 : 2,-,-,-
22102017,11:30,Java Lane,Colombo,-,-,-,-
22102017,11:30,Matara City,Renown,2 : 2,-,-,-
22102017,11:30,Navy,Crystal Palace,3 : 1,-,-,-
22102017,11:30,Saunders,Solid,1 : 3,-,-,-
25102017,11:30,Java Lane,Colombo,-,-,-,-
25102017,11:30,Pelicans SC,Crystal Palace,-,-,-,-
25102017,11:30,UP Country Lions,Blue Star,0 : 0,-,-,-
28102017,11:30,Blue Star,Sri Lanka Army,-,-,-,-
28102017,11:30,Renown,New Young's SC,-,-,-,-
28102017,11:30,Solid,Pelicans SC,-,-,-,-
29102017,10:30,Air Force,Java Lane,-,-,-,-
29102017,10:30,Crystal Palace,Colombo,-,-,-,-
29102017,10:30,Navy,Matara City,-,-,-,-
29102017,10:30,Negombo Youth,Moragasmulla,-,-,-,-
29102017,10:30,Police,Super Sun,-,-,-,-
29102017,10:30,UP Country Lions,Saunders,-,-,-,-
04112017,10:30,Air Force,Matara City,-,-,-,-
04112017,10:30,Moragasmulla,Solid,-,-,-,-
04112017,10:30,Saunders,Crystal Palace,-,-,-,-
04112017,10:30,Super Sun,UP Country Lions,-,-,-,-
05112017,10:30,Colombo,Blue Star,-,-,-,-
05112017,10:30,New Young's SC,Java Lane,-,-,-,-
05112017,10:30,Pelicans SC,Navy,-,-,-,-
05112017,10:30,Police,Negombo Youth,-,-,-,-
05112017,10:30,Renown,Sri Lanka Army,-,-,-,-
11112017,10:30,Moragasmulla,Pelicans SC,-,-,-,-
11112017,10:30,Solid,Air Force,-,-,-,-
11112017,10:30,Sri Lanka Army,Super Sun,-,-,-,-
11112017,10:30,UP Country Lions,Java Lane,-,-,-,-
12112017,10:30,Crystal Palace,Renown,-,-,-,-
12112017,10:30,Negombo Youth,New Young's SC,-,-,-,-
12112017,10:30,Police,Matara City,-,-,-,-
12112017,10:30,Saunders,Blue Star,-,-,-,-
12112017,10:30,Crystal Palace,Renown,-,-,-,-
12112017,10:30,Negombo Youth,New Young's SC,-,-,-,-
12112017,10:30,Police,Matara City,-,-,-,-
12112017,10:30,Saunders,Blue Star,-,-,-,-
