date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:00,Aston Villa,Fulham,2 : 1,2.15,3.00,2.70
22102017,16:00,Barnsley,Hull,0 : 1,2.50,3.05,2.25
22102017,16:00,Bolton,QPR,1 : 1,2.75,2.95,2.15
22102017,16:00,Brentford,Sunderland,3 : 3,1.70,3.40,3.50
22102017,16:00,Bristol City ,Leeds ,0 : 3,1.95,3.00,3.15
22102017,16:00,Derby,Sheffield Wed ,2 : 0,2.05,2.90,3.00
22102017,16:00,Middlesbrough,Cardiff,0 : 1,1.95,2.90,3.20
22102017,16:00,Nottingham,Burton,2 : 0,1.62,3.25,4.00
22102017,16:00,Sheffield Utd,Reading,2 : 1,1.75,3.00,3.75
22102017,16:00,Wolves,Preston ,3 : 2,1.58,3.20,4.50
22102017,18:30,Millwall,Birmingham,2 : 0,2.05,2.90,3.00
22102017,16:00,Brechin ,Queen of South ,0 : 1,-,-,-
22102017,16:00,Dundee Utd,Inverness,0 : 2,-,-,-
22102017,16:00,Dunfermline,Livingston,3 : 1,-,-,-
22102017,16:00,Falkirk,St. Mirren,0 : 0,-,-,-
22102017,16:00,Morton,Dumbarton,1 : 1,-,-,-
22102017,13:00,Ipswich,Norwich,0 : 1,3.05,3.05,1.95
27102017,20:45,Leeds,Sheffield Utd,1 : 2,2.20,2.90,2.70
28102017,13:30,Sheffield Wed,Barnsley,1 : 1,1.58,3.40,4.10
28102017,16:00,Burton,Ipswich,1 : 2,2.50,2.80,2.40
28102017,16:00,Cardiff,Millwall,0 : 0,1.65,3.05,4.20
28102017,16:00,Fulham,Bolton,1 : 1,1.35,4.00,5.75
28102017,16:00,Norwich,Derby,1 : 2,2.00,2.90,3.10
28102017,16:00,Preston,Brentford,2 : 3,2.10,3.20,2.65
28102017,16:00,QPR,Wolves,2 : 1,3.40,3.05,1.82
28102017,16:00,Reading,Middlesbrough,0 : 2,2.75,2.75,2.25
28102017,16:00,Sunderland,Bristol City,1 : 2,2.25,2.95,2.60
28102017,18:30,Hull,Nottingham,2 : 3,1.88,3.15,3.10
28102017,16:00,Dumbarton ,Dundee Utd,0 : 2,-,-,-
28102017,16:00,Inverness,Dunfermline,1 : 0,-,-,-
28102017,16:00,Livingston,Brechin,3 : 2,-,-,-
28102017,16:00,Queen of South,Falkirk,4 : 2,-,-,-
28102017,16:00,St. Mirren,Morton,2 : 2,-,-,-
29102017,13:00,Birmingham,Aston Villa,0 : 0,2.90,2.75,2.15
31102017,20:45,Burton,Barnsley,2 : 4,2.40,2.80,2.50
31102017,20:45,Cardiff,Ipswich,3 : 1,1.55,3.25,4.60
31102017,20:45,Fulham ,Bristol City,0 : 2,1.85,3.20,3.15
31102017,20:45,Hull ,Middlesbrough,1 : 3,2.55,2.95,2.30
31102017,20:45,Leeds,Derby,1 : 2,2.25,2.80,2.70
31102017,20:45,Norwich,Wolves,0 : 2,2.55,2.95,2.30
31102017,20:45,QPR,Sheffield Utd,1 : 0,2.30,3.00,2.50
31102017,20:45,Sheffield Wed,Millwall ,2 : 1,1.75,3.10,3.60
31102017,20:45,Sunderland,Bolton,3 : 3,1.62,3.15,4.30
31102017,21:00,Reading,Nottingham,3 : 1,2.15,2.90,2.80
02112017,20:45,Birmingham,Brentford,0 : 2,2.55,3.00,2.25
02112017,20:45,Preston,Aston Villa,0 : 2,2.30,2.85,2.60
04112017,13:00,Bristol City,Cardiff ,2 : 1,2.35,2.90,2.50
04112017,16:00,Aston Villa,Sheffield Wed,1 : 2,1.88,3.05,3.25
04112017,16:00,Barnsley,Birmingham,2 : 0,2.15,2.95,2.70
04112017,16:00,Bolton,Norwich,2 : 1,3.20,3.05,1.88
04112017,16:00,Derby,Reading,2 : 4,1.65,3.10,4.20
04112017,16:00,Ipswich,Preston,3 : 0,2.40,2.95,2.40
04112017,16:00,Millwall ,Burton,0 : 1,1.65,3.10,4.10
04112017,16:00,Nottingham,QPR,4 : 0,2.20,3.00,2.65
04112017,16:00,Sheffield Utd,Hull,4 : 1,1.70,3.20,3.75
04112017,18:30,Brentford,Leeds,3 : 1,1.85,3.25,3.15
04112017,16:00,Brechin,Dumbarton,0 : 1,-,-,-
04112017,16:00,Dundee Utd,St. Mirren,2 : 1,-,-,-
04112017,16:00,Falkirk,Dunfermline ,1 : 1,-,-,-
04112017,16:00,Livingston,Inverness,0 : 0,-,-,-
04112017,16:00,Morton,Queen of South,1 : 2,-,-,-
