date,horaire,team_home,team_away,score,cote1,coteN,cote2
27112017,20:30,Rochdale ,Doncaster,2 : 1 (1 : 1),-,-,-
01122017,13:30,Portsmouth ,Northampton,2 : 0,-,-,-
01122017,13:30,Walsall,Bury ,1 : 2,-,-,-
05122017,20:00,Blackpool ,Mansfield,2 : 1 (1 : 1),2.14,3.60,3.10
05122017,20:45,Milton Keynes,Chelsea -23 ,0 : 4,3.60,3.75,1.90
05122017,20:45,Peterborough ,Southend,2 : 0,2.29,3.29,3.10
04122017,20:00,Gillingham FC,Oxford Utd ,1 : 2,3.20,3.50,2.14
04122017,20:00,Swansea -23,Charlton ,2 : 3,2.37,3.29,2.89
04122017,20:30,Bradford,Oldham ,0 : 1,2.79,3.50,2.37
04122017,20:45,Fleetwood ,Chesterfield,2 : 0,2.00,3.79,3.29
04122017,20:45,Lincoln City ,Accrington,3 : 2,2.04,3.39,3.50
04122017,20:45,Luton ,West Ham -23,4 : 0,1.90,4.00,3.50
04122017,20:45,Port Vale,Shrewsbury ,1 : 2,3.70,3.50,1.95
04122017,20:45,Scunthorpe,Leicester -23 ,1 : 2,2.14,3.60,3.10
04122017,20:45,Swindon ,Forest Green  ,0 : 1,1.61,3.79,5.50
04122017,20:45,Yeovil ,Wimbledon,2 : 0,2.75,3.50,2.39
