date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,20:30,Bradford,Manchester City -23,2 : 1,-,-,-
24102017,20:45,Lincoln City,Everton -23,2 : 1,-,-,-
24102017,20:45,Notts County,Mansfield,1 : 2,-,-,-
24102017,20:45,Wigan,Middlesbrough -23,4 : 1,-,-,-
25102017,20:45,Yeovil,Chelsea -23,2 : 1 (1 : 1),-,-,-
31102017,20:30,Doncaster,Scunthorpe,2 : 1 (1 : 1),-,-,-
31102017,20:45,Bristol Rovers,West Ham -23,1 : 3,-,-,-
31102017,20:45,Forest Green,Swansea -23,0 : 2,-,-,-
31102017,20:45,Mansfield,Everton -23,1 : 0,-,-,-
31102017,20:45,Swindon,Wycombe,1 : 0,-,-,-
31102017,20:45,Wimbledon,Luton,1 : 2,-,-,-
02112017,20:00,Blackpool,Middlesbrough -23,4 : 1,-,-,-
02112017,20:45,Charlton,Fulham -23,3 : 2,-,-,-
07112017,20:30,Bradford,Rotherham,0 : 3,-,-,-
07112017,20:30,Newport,Cheltenham,1 : 2,-,-,-
07112017,20:30,Oldham,Newcastle -23,4 : 1,-,-,-
07112017,20:45,Cambridge Utd,Peterborough,0 : 2,-,-,-
07112017,20:45,Charlton,Portsmouth,0 : 1,-,-,-
07112017,20:45,Coventry,West Brom -23,2 : 1,-,-,-
07112017,20:45,Gillingham FC,Reading -23,7 : 5,-,-,-
07112017,20:45,Lincoln City,Notts County,2 : 1,-,-,-
07112017,20:45,Morecambe,Leicester -23,3 : 2 (2 : 2),-,-,-
07112017,20:45,Northampton,Southampton -23,4 : 3 (3 : 3),-,-,-
07112017,20:45,Oxford Utd,Milton Keynes,3 : 4,-,-,-
07112017,20:45,Port Vale,Crewe,4 : 2,-,-,-
07112017,20:45,Rochdale,Blackburn ,2 : 1 (1 : 1),-,-,-
07112017,20:45,Shrewsbury ,Walsall,0 : 1,-,-,-
07112017,20:45,Southend,Colchester,2 : 0,-,-,-
07112017,20:45,Stevenage,Brighton -23,3 : 1,-,-,-
07112017,20:45,Wigan,Accrington,0 : 4,-,-,-
08112017,20:45,Bristol Rovers,Swindon,2 : 4,-,-,-
08112017,20:45,Bury,Stoke -23,3 : 1,-,-,-
08112017,20:45,Carlisle,Fleetwood,1 : 2,-,-,-
08112017,20:45,Grimsby Town,Sunderland -23,1 : 2 (1 : 1),-,-,-
27112017,20:45,Exeter,Chelsea -23,1 : 3,-,-,-
27112017,20:45,Wycombe,West Ham -23,2 : 0,-,-,-
27112017,20:45,Yeovil,Plymouth,2 : 1,-,-,-
27112017,21:00,Barnet,Tottenham -23,2 : 1,-,-,-
28112017,20:00,Chesterfield,Manchester City -23 ,3 : 2 (2 : 2),-,-,-
28112017,20:45,Crawley Town,Fulham -23,1 : 3,-,-,-
