date,horaire,team_home,team_away,score,cote1,coteN,cote2
28112017,16:00,Cartagena B,Ontinyent,1 : 2,-,-,-
28112017,19:00,Saguntino,Mallorca B,2 : 1,-,-,-
28112017,19:30,Pena,Alaves B,0 : 1,-,-,-
28112017,19:30,Silva SD,Langreo,0 : 3,-,-,-
28112017,20:00,Arcos CF,Betis B,2 : 3,-,-,-
28112017,20:00,Ardoi,Utebo FC,2 : 2,-,-,-
28112017,20:00,Olimpic Xativa,UCAM Murcia,0 : 3,-,-,-
28112017,20:00,Real Aviles,Burgos,1 : 1,-,-,-
28112017,20:00,San Sebastian Reyes,Rayo Majadahonda,1 : 1,-,-,-
28112017,20:15,Tarazona,SD Logrones,0 : 1,-,-,-
28112017,20:30,Rapido de Bouzas,Pontevedra,0 : 1,-,-,-
28112017,20:30,UP Plasencia,San Fernando,1 : 0,-,-,-
28112017,20:30,Villanovense,Tenerife B,4 : 0,-,-,-
28112017,20:30,Villarrobledo,Huetor Tajar,5 : 0,-,-,-
