date,horaire,team_home,team_away,score,cote1,coteN,cote2
25102017,02:00,Monarcas,Tijuana ,2 : 3 (2 : 2),-,-,-
25102017,02:00,Toluca ,Atlante  ,1 : 2 (1 : 1),-,-,-
25102017,04:00,Club America ,Cruz Azul ,1 : 0,-,-,-
25102017,04:06,Leon ,Queretaro ,1 : 2 (1 : 1),-,-,-
26102017,02:00,Santos Laguna ,Necaxa,2 : 0,-,-,-
26102017,02:06,Pachuca  ,Zacatepec,5 : 0,-,-,-
26102017,03:30,Monterrey ,Leones Negros,3 : 2 (2 : 2),-,-,-
26102017,04:06,Guadalajara ,Atlas ,1 : 0,-,-,-
02112017,02:00,Guadalajara,Atlante  ,1 : 2 (1 : 1),-,-,-
02112017,02:00,Monterrey ,Santos Laguna ,4 : 1,-,-,-
02112017,04:00,Club America ,Queretaro,2 : 1 (1 : 1),-,-,-
