date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:30,Bisceglie ,Virtus Francavilla,2 : 0,-,-,-
18102017,16:30,Pisa,Pontedera ,0 : 1,-,-,-
18102017,18:00,Ravenna,Reggiana ,0 : 2,-,-,-
18102017,18:30,Gubbio ,Sambenedettese ,1 : 3,-,-,-
18102017,18:30,Vicenza ,Pordenone,2 : 1,-,-,-
18102017,20:00,AlbinoLeffe ,Monza,1 : 0(0 : 0),-,-,-
15112017,18:30,AlbinoLeffe ,Pro Piacenza,2 : 0,-,-,-
21112017,14:30,Matera  ,Reggina 1914 ,3 : 2,-,-,-
21112017,14:30,Paganese ,Juve Stabia,1 : 0,-,-,-
21112017,14:30,Trapani ,Siracusa ,1 : 0 (0 : 0),-,-,-
21112017,16:30,Lecce ,Bisceglie ,2 : 1,-,-,-
21112017,20:30,Padova ,Triestina,5 : 0,-,-,-
22112017,14:30,Bassano ,FeralpiSalo ,0 : 1 (0 : 0),-,-,-
22112017,14:30,Reggiana,Prato ,1 : 2,-,-,-
22112017,14:30,Renate ,Giana Erminio,2 : 1,-,-,-
22112017,16:30,Viterbese ,Teramo,1 : 0 (0 : 0),-,-,-
22112017,18:30,Pontedera ,Lucchese,1 : 0,-,-,-
22112017,20:30,Casertana  ,Sambenedettese ,3 : 1 (1 : 1),-,-,-
22112017,20:30,Catania,Cosenza ,1 : 2,-,-,-
27112017,20:30,Piacenza,Alessandria ,0 : 4,-,-,-
28112017,20:30,Livorno ,Arezzo,2 : 1,-,-,-
05122017,18:30,Viterbese ,Livorno ,3 : 0,2.37,3.10,2.87
05122017,20:30,Casertana,Paganese ,0 : 1 (0 : 0),1.83,3.39,4.00
04122017,14:30,Renate ,FeralpiSalo,2 : 1 (1 : 1),1.75,3.20,4.75
