date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,14:00,Giannina,Panegialios,3 : 0,-,-,-
24102017,14:00,Kerkyra,Sparti,6 : 1,-,-,-
24102017,14:00,Smyrnis,Iraklis,-,-,-,-
24102017,16:15,Karditsa,Panathinaikos,1 : 2,-,-,-
24102017,16:15,Levadiakos,Aiginiakos,5 : 0,-,-,-
24102017,18:30,Lamia,Kallithea,1 : 0,-,-,-
25102017,14:00,Acharnaikos,Olympiakos,0 : 3,-,-,-
25102017,14:00,Ergotelis,Xanthi,2 : 4,-,-,-
25102017,16:15,AEL Larissa,Panachaiki,3 : 0,-,-,-
25102017,16:15,Aris,Panionios,1 : 2,-,-,-
25102017,16:15,Panetolikos,Panserraikos,2 : 0,-,-,-
25102017,18:30,Apollon Pontou,PAOK,0 : 1,-,-,-
26102017,14:00,Asteras T.,Chania Kissamikos,2 : 1,-,-,-
26102017,14:00,Trikala FC,Atromitos,1 : 1,-,-,-
26102017,16:15,OFI Crete,Platanias,1 : 0,-,-,-
26102017,18:30,Apollon Larissa,AEK,0 : 7,-,-,-
27112017,14:00,Iraklis,Platanias,-,-,-,-
27112017,14:00,OFI Crete,Smyrnis ,2 : 1,-,-,-
27112017,14:00,Sparti,Atromitos,0 : 4,-,-,-
27112017,16:15,Apollon Larissa,Lamia,0 : 2,-,-,-
27112017,16:15,Panserraikos,Xanthi,1 : 2,-,-,-
27112017,18:30,Aris,Giannina ,1 : 1,-,-,-
29112017,14:00,Ergotelis,Panetolikos,0 : 5,-,-,-
29112017,16:15,Apollon Pontou,Levadiakos,1 : 2,-,-,-
29112017,16:15,Panegialios ,Panionios,1 : 0,-,-,-
29112017,18:30,Kallithea,AEK,2 : 3,-,-,-
28112017,14:00,Acharnaikos,Asteras T.,-,-,-,-
28112017,14:00,Aiginiakos,PAOK,0 : 5,-,-,-
28112017,16:15,Chania Kissamikos,Olympiakos,1 : 1,-,-,-
28112017,16:15,Trikala FC,Kerkyra,0 : 0,-,-,-
28112017,18:30,Karditsa ,AEL Larissa,0 : 0,-,-,-
28112017,18:30,Panachaiki,Panathinaikos,1 : 1,-,-,-
