date,horaire,team_home,team_away,score,cote1,coteN,cote2
27122017,17:00,JS Kabylie ,Ben Aknoun,1 : 0,-,-,-
27122017,17:00,Oran ,Oued Sly,1 : 0,-,-,-
29122017,14:00,Ain Sefra,Amal Bou Saada ,0 : 1,-,-,-
29122017,14:00,Belkheir ,WRO Mimoune,2 : 0,-,-,-
29122017,14:00,Biskra ,Skikda,3 : 0,-,-,-
29122017,14:00,CRB Kais  ,Village Moussa,2 : 1,-,-,-
29122017,14:00,El Bayadh ,Annaba,1 : 0,-,-,-
29122017,14:00,Illizi ,Bir El Ater,2 : 1,-,-,-
29122017,14:00,Lakhdaria ,Belvedere ,1 : 0,-,-,-
29122017,14:00,Magra ,Khenchela,1 : 0,-,-,-
29122017,14:00,Mohammadia SA,Saoura ,1 : 2,-,-,-
29122017,14:00,Relizane,Telaghema ,2 : 3 (2 : 2),-,-,-
29122017,14:00,Saida ,RC Kouba,4 : 0,-,-,-
29122017,14:00,Touggourt,Harrach ,0 : 1 (0 : 0),-,-,-
29122017,14:00,Zaouia ,Ghozlane,2 : 1 (1 : 1),-,-,-
29122017,15:00,Belouizdad ,Ghriss,3 : 0,-,-,-
29122017,15:00,SA Setif,ASM Oran ,0 : 2,-,-,-
29122017,16:00,MC Alger ,Tlemcen,4 : 0,-,-,-
28122017,14:30,Besbes ,Souf,2 : 1 (0 : 0),-,-,-
28122017,14:30,Boudjelbana,Dar El Beida ,1 : 2 (1 : 1),-,-,-
28122017,14:30,Eulma,Paradou ,0 : 3,-,-,-
28122017,14:30,Kolea,MO Bejaia ,1 : 3,-,-,-
28122017,14:30,Mlila ,Bordj Bou Arreridj,1 : 0,-,-,-
28122017,14:30,Tadjenant ,El Amria,3 : 0,-,-,-
28122017,14:30,Temouchent,USM Blida ,0 : 1 (0 : 0),-,-,-
28122017,15:00,Bel Abbes ,Chelghoum,1 : 0 (0 : 0),-,-,-
28122017,15:00,Setif ,MB Hassi Messaoud,2 : 0,-,-,-
28122017,15:00,Staoueli,Medea ,0 : 2,-,-,-
28122017,16:00,Constantine  ,Hussein Dey ,2 : 1,-,-,-
28122017,16:00,USM Alger ,ES Firme,1 : 0,-,-,-
