date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,18:30,Dusseldorf,Monchengladbach ,0 : 1,3.40,3.50,1.88
24102017,18:30,Leverkusen ,Union Berlin ,4 : 1,1.23,5.50,8.75
24102017,18:30,Paderborn ,Bochum ,2 : 0,2.60,3.25,2.40
24102017,18:30,Wehen,Schalke 04 ,1 : 3,5.25,3.75,1.52
24102017,20:45,Furth,Ingolstadt ,1 : 3,3.30,3.20,2.00
24102017,20:45,Magdeburg,Dortmund ,0 : 5,8.25,5.00,1.27
24102017,20:45,Mainz ,Kiel,3 : 2 (2 : 2),2.05,3.30,3.10
24102017,20:45,Schweinfurt,Frankfurt ,0 : 4,9.75,5.50,1.22
25102017,18:30,Hertha,FC Koln ,1 : 3,1.72,3.30,4.40
25102017,18:30,Kaiserslautern,Stuttgart ,1 : 3,5.00,3.60,1.58
25102017,18:30,Osnabruck ,Nurnberg ,2 : 3,4.50,3.60,1.65
25102017,18:30,Wolfsburg ,Hannover,1 : 0,1.85,3.30,3.70
25102017,20:45,Bremen ,Hoffenheim,1 : 0,2.55,3.30,2.40
25102017,20:45,Freiburg ,Dresden,3 : 1,1.80,3.40,3.80
25102017,20:45,RB Leipzig ,Bayern ,1 : 2 (1 : 1),4.30,4.00,1.60
25102017,20:45,Regensburg,Heidenheim  ,2 : 5,2.20,3.20,2.90
19122017,18:30,Bremen ,Freiburg,3 : 2,2.00,3.30,3.30
19122017,18:30,Monchengladbach,Leverkusen ,0 : 1,3.05,3.50,2.00
19122017,20:45,Bayern ,Dortmund,2 : 1,1.25,5.00,9.00
19122017,20:45,Heidenheim,Frankfurt ,1 : 2 (0 : 0),3.60,3.15,1.95
18122017,18:30,Mainz ,Stuttgart,3 : 1,2.85,3.00,2.35
18122017,18:30,Paderborn ,Ingolstadt,1 : 0,3.25,3.30,2.00
18122017,20:45,Nurnberg,Wolfsburg ,0 : 2 (0 : 0),2.55,3.10,2.55
18122017,20:45,Schalke 04 ,FC Koln,1 : 0,1.42,4.10,6.25
