date,horaire,team_home,team_away,score,cote1,coteN,cote2
10112017,14:00,Corée du Nord,Malaisie,4 : 1,-,-,-
12112017,13:00,Malaisie,Corée du Nord,1 : 4,-,-,-
13112017,13:00,Malaisie,Corée du Nord,1 : 4,-,-,-
14112017,09:15,Népal,Philippines,0 : 0,-,-,-
14112017,11:00,Turkménistan,Taipei Chinois,2 : 1,-,-,-
14112017,12:00,Tadjikistan,Yemen,0 : 0,-,-,-
14112017,12:30,Cambodge,Jordanie,0 : 1,-,-,-
14112017,12:30,Macau,Kyrgyzstan,3 : 4,-,-,-
14112017,12:30,Singapour,Bahreïn,0 : 3,-,-,-
14112017,13:00,Bhoutan,Oman,2 : 4,-,-,-
14112017,13:00,Hong Kong ,Liban,0 : 1,-,-,-
14112017,13:00,Vietnam,Afghanistan,0 : 0,-,-,-
14112017,15:00,Palestine,Maldives,8 : 1,-,-,-
14112017,15:30,Inde,Birmanie,2 : 2,-,-,-
