date,horaire,team_home,team_away,score,cote1,coteN,cote2
27112017,15:00,Cagliari,Pordenone ,1 : 2,1.22,5.25,10.50
27112017,18:00,Spal,Cittadella ,0 : 2,1.88,3.30,3.60
27112017,21:00,Sampdoria ,Pescara,4 : 1,1.40,4.30,6.00
29112017,18:00,Udinese ,Perugia,8 : 3,1.55,3.70,5.25
29112017,21:00,Genoa ,Crotone,1 : 0,1.62,3.50,4.90
28112017,15:00,Sassuolo ,Bari,2 : 1,1.62,3.60,4.70
28112017,18:00,Chievo,Hellas Vérone ,1 : 2 (1 : 1),1.95,3.25,3.50
28112017,21:00,Torino ,Carpi,2 : 0,1.18,5.50,12.00
11122017,21:00,Inter,Pordenone,-,1.16,6.00,12.00
19122017,15:00,Atalanta  ,Sassuolo,2 : 1,1.78,3.50,4.30
19122017,17:30,AS Rome,Torino ,1 : 2,1.55,4.20,5.25
19122017,20:45,Juventus ,Genoa,2 : 0,1.20,5.75,14.00
18122017,21:00,Naples ,Udinese,1 : 0,1.32,5.00,8.00
