date,horaire,team_home,team_away,score,cote1,coteN,cote2
25102017,12:00,A. Kiev,Veres Rivne ,0 : 1,-,-,-
25102017,13:00,Tavriya,Mariupol ,0 : 5,-,-,-
25102017,16:00,Vorskla ,Olimpik Donetsk,2 : 0 (0 : 0),-,-,-
25102017,17:00,Ivano-Frankivsk,Desna ,0 : 2,-,-,-
25102017,18:00,Dnipro-1 ,Ch. Odessa,1 : 0 (0 : 0),-,-,-
25102017,18:00,Lviv ,Stal Kamianske,2 : 1 (1 : 1),-,-,-
25102017,18:00,Zorya ,Shakhtar ,3 : 4 (2 : 2),-,-,-
25102017,18:30,Oleksandriya,Dyn. Kiev ,2 : 3 (1 : 1),-,-,-
28112017,16:00,Vorskla,Mariupol ,1 : 2,-,-,-
28112017,18:00,Desna,Dyn. Kiev ,0 : 2,-,-,-
28112017,18:00,Lviv,Dnipro-1 ,1 : 2 (1 : 1),-,-,-
28112017,18:30,Shakhtar ,Veres Rivne,4 : 0,-,-,-
