date,horaire,team_home,team_away,score,cote1,coteN,cote2
27112017,20:00,Mouscron,Charleroi ,0 : 1,-,-,-
27112017,20:00,Ostende ,Saint-Trond,2 : 0,-,-,-
29112017,20:45,Zulte-Waregem,Club Brugge ,2 : 3 (2 : 2),-,-,-
28112017,20:00,Courtrai ,Antwerp,4 : 2,-,-,-
28112017,20:00,Malines ,Genk  ,1 : 2 (1 : 1),-,-,-
28112017,20:30,La Gantoise ,Lokeren,2 : 1,-,-,-
28112017,20:30,Waasland-Beveren  ,Eupen,2 : 0,-,-,-
28112017,20:45,Anderlecht,Standard Liège ,0 : 1,-,-,-
11122017,20:00,Courtrai,La Gantoise,1 : 1,-,-,-
11122017,20:45,Ostende,Standard Liège,-,-,-,-
