date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,15:00,Arges Pitesti ,Poli Iasi ,1 : 2,-,-,-
24102017,17:00,Petrolul,Mioveni  ,1 : 2 (1 : 1),-,-,-
24102017,18:00,U. Cluj ,Miroslava ,2 : 1,-,-,-
24102017,19:30,Sepsi,CS U. Craiova ,0 : 2,-,-,-
25102017,13:00,AFC Hermannstadt ,Voluntari,1 : 0 (0 : 0),-,-,-
25102017,13:30,Afumati  ,UTA Arad ,5 : 2,-,-,-
25102017,13:30,Braila,Juventus Bucuresti ,1 : 2,-,-,-
25102017,13:30,Clinceni,Chindia Targoviste ,0 : 1,-,-,-
25102017,13:30,CSM Scolar Resita,FC Viitorul ,2 : 4,-,-,-
25102017,13:30,Metaloglobus,Gaz Metan  ,1 : 2,-,-,-
25102017,13:30,Slobozia ,Targu Mures,4 : 0,-,-,-
25102017,15:00,Concordia,Astra ,0 : 3,-,-,-
25102017,17:00,Politehnica Timisoara,Poli Timisoara ,0 : 1,-,-,-
25102017,19:30,Sanatatea Cluj ,FCSB ,1 : 6,-,-,-
