date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,20:00,Lausanne Ouchy,Zurich ,1 : 4,10.00,5.50,1.09
25102017,19:15,Nyonnais,Thun ,1 : 3,7.25,4.70,1.18
25102017,19:30,Munsingen,Young Boys ,0 : 3,15.00,7.25,1.03
25102017,20:00,Rapperswil,Bale ,1 : 2,7.00,4.50,1.20
25102017,20:30,Lausanne,Grasshoppers ,0 : 1,2.45,3.05,2.15
26102017,19:30,Schotz,Lugano  ,2 : 3 (1 : 1),3.60,3.80,1.52
26102017,20:00,Echallens ,Luzern ,2 : 3,4.75,3.70,1.40
26102017,20:15,Delemont,St. Gallen ,1 : 2,7.75,4.90,1.15
29112017,20:15,Lugano,Grasshoppers ,0 : 1 (0 : 0),2.10,3.00,2.80
29112017,20:15,Young Boys ,St. Gallen,2 : 1,1.27,4.40,6.50
28112017,19:30,Bale ,Luzern,2 : 1,1.25,4.30,7.00
28112017,19:30,Zurich ,Thun,4 : 3,1.52,3.50,4.40
