date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,12:00,Sariyer,Adana Demirspor  ,2 : 3 (2 : 2),-,-,-
24102017,13:30,Etimesgut,Antalyaspor ,0 : 1,-,-,-
24102017,15:00,Altinordu,Karsspor ,0 : 1,-,-,-
24102017,16:00,Kasimpasa ,Nigde Belediyespor,5 : 1,-,-,-
24102017,17:30,Alanyaspor ,Edirnespor,2 : 0,-,-,-
24102017,18:00,Fethiyespor,Adanaspor ,1 : 2,-,-,-
24102017,18:00,Kahramanmaras ,Rizespor,1 : 0,-,-,-
24102017,19:30,Akhisar Belediye ,24 Erzincanspor,6 : 0,-,-,-
25102017,12:00,Batman Petrolspor ,Denizlispor,2 : 1 (1 : 1),-,-,-
25102017,12:00,Eyupspor ,Gumushanespor,4 : 2 (1 : 1),-,-,-
25102017,12:00,Istanbulspor ,Afjet Afyonspor,4 : 3 (3 : 3),-,-,-
25102017,12:00,Ofspor,Yeni Malatyaspor ,1 : 3,-,-,-
25102017,12:00,Orhangazispor ,Sanliurfaspor,1 : 0 (0 : 0),-,-,-
25102017,13:30,Corum,Trabzonspor  ,0 : 6,-,-,-
25102017,15:30,Elazigspor,Sivas Belediyespor ,0 : 1,-,-,-
25102017,16:00,Genclerbirligi ,Tuzlaspor,3 : 0,-,-,-
25102017,17:30,Sivasspor ,Kizilcaboluk Spor Kulubu,3 : 1,-,-,-
25102017,18:00,Bucaspor  ,Amedspor,2 : 1,-,-,-
25102017,18:00,Erzurum BB ,Tire,2 : 0,-,-,-
25102017,18:00,Gaziantep,Ankara Demirspor ,1 : 2,-,-,-
25102017,19:30,Osmanlispor ,Karagumruk,5 : 0,-,-,-
