date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,18:45,Lorient,Caen ,0 : 1,1.90,3.25,3.75
24102017,21:05,Guingamp,Montpellier ,0 : 2,2.10,3.15,3.30
24102017,20:45,Airbus,Connah's Q. ,0 : 2,-,-,-
24102017,20:45,Barry,Cardiff Metropolitan ,0 : 2,-,-,-
24102017,20:45,Carmarthen,Newtown ,0 : 2,-,-,-
24102017,20:45,TNS ,Caernarfon,2 : 0,-,-,-
24102017,21:15,FC Porto,Leixoes,0 : 0,1.14,5.25,10.00
25102017,18:45,Lille ,Valenciennes,3 : 2 (2 : 2),1.45,3.90,6.75
25102017,21:05,Angers ,Nancy,3 : 2,1.72,3.40,4.50
25102017,21:05,Dijon,Rennes ,1 : 2,2.25,3.20,2.90
25102017,21:05,Metz ,Red Star,1 : 0,1.80,3.30,4.10
25102017,21:05,Strasbourg ,Saint-Etienne,2 : 1 (1 : 1),2.70,3.10,2.45
25102017,21:05,Toulouse ,Clermont ,4 : 2,1.52,3.75,5.75
25102017,21:05,Tours ,Nantes ,3 : 1,3.60,3.20,1.95
25102017,21:05,Troyes,Amiens ,1 : 2,2.75,3.00,2.50
26102017,22:00,Portimonense ,Setubal,1 : 2,1.95,2.90,3.15
11112017,16:00,Guimaraes,Oliveirense,1 : 4,1.25,4.00,8.25
11112017,17:00,Moreirense,Feirense,2 : 1,1.80,2.80,3.90
15112017,20:45,Cardiff Metropolitan ,Newtown,1 : 0,-,-,-
20112017,20:45,Connah's Q.,TNS ,0 : 1,-,-,-
27112017,17:00,U. Madeira,Belenenses,1 : 1,2.65,2.75,2.35
11122017,18:45,Toulouse,Bordeaux,2 : 0,2.70,3.00,2.65
11122017,21:05,Angers,Metz,-,1.62,3.60,5.25
11122017,21:05,Monaco,Caen,-,1.38,4.50,7.50
21122017,21:30,Setubal,Braga,2 : 1,3.90,2.90,1.75
20122017,22:00,Belenenses,Maritimo,0 : 0,2.10,2.65,3.20
20122017,22:15,FC Porto ,Rio Ave ,3 : 0,1.20,4.50,8.25
19122017,20:15,Benfica,Portimonense,2 : 2,1.10,6.00,10.50
19122017,22:15,Sporting,U. Madeira,6 : 0,1.08,6.00,13.00
29122017,19:15,Feirense,Oliveirense,2 : 2,2.50,2.85,2.40
29122017,19:15,Moreirense,Guimaraes ,3 : 3,2.00,2.90,3.10
29122017,21:15,Paços Ferreira,FC Porto,1 : 2,10.50,4.90,1.15
29122017,21:15,Rio Ave,Leixoes,1 : 0,2.15,3.10,2.65
28122017,17:00,Braga,Portimonense,2 : 2,1.58,3.30,4.25
28122017,20:15,Belenenses,Sporting,1 : 1,6.25,3.70,1.35
28122017,20:15,Maritimo ,U. Madeira ,3 : 2,1.32,3.80,6.50
28122017,22:15,Setubal,Benfica,2 : 2,4.10,3.25,1.62
