date,horaire,team_home,team_away,score,cote1,coteN,cote2
25102017,15:00,Jammerbugt,Sonderjyske,-,-,-,-
25102017,18:00,Odense,Midtjylland ,0 : 3,-,-,-
25102017,19:00,Fredericia ,Koge,2 : 0,-,-,-
25102017,19:00,Silkeborg,Lyngby,-,-,-,-
26102017,19:00,Holbaek,Randers ,1 : 4,-,-,-
02112017,18:00,Hobro ,Nordsjaelland,2 : 1 (1 : 1),-,-,-
21112017,17:55,Hellerup,Silkeborg ,0 : 3,-,-,-
27112017,19:00,Jammerbugt,Sonderjyske ,1 : 4,-,-,-
05122017,17:45,Aalborg ,Helsingor,2 : 1,1.53,4.00,6.00
05122017,18:00,Silkeborg ,Lyngby,3 : 1 (1 : 1),2.29,3.39,3.00
