date,horaire,team_home,team_away,score,cote1,coteN,cote2
22122017,15:30,Qatar,Yemen,-,-,-,-
22122017,18:00,Bahreïn,Iraq,-,-,-,-
21122017,16:30,Koweit,Arabie Saoudite,1 : 2,-,-,-
21122017,19:00,Oman,Emirats Arabes Unis,0 : 1,-,-,-
27122017,16:30,Arabie Saoudite,Oman,0 : 2,-,-,-
27122017,16:30,Koweit,Emirats Arabes Unis,0 : 0,-,-,-
25122017,15:30,Yemen,Bahreïn,0 : 1,-,-,-
25122017,18:00,Iraq,Qatar,2 : 1,-,-,-
24122017,15:30,Emirats Arabes Unis,Arabie Saoudite,0 : 0,-,-,-
24122017,18:00,Oman,Koweit,1 : 0,-,-,-
