date,horaire,team_home,team_away,score,cote1,coteN,cote2
19102017,15:30,Hongrie F,Croatie F,2 : 2,2.00,2.95,2.90
19102017,15:30,Serbie F ,Israel F,2 : 0,1.20,4.50,7.75
19102017,17:00,Biélorussie F,Ecosse F,1 : 2,13.00,7.50,1.03
20102017,16:00,Allemagne F,Islande F,2 : 3,1.11,5.50,10.50
20102017,18:00,Slovénie F,République Tchèque F,0 : 4,6.50,4.40,1.25
20102017,18:15,Suède F,Danemark F,-,1.68,3.25,3.60
20102017,20:30,Belgique F,Roumanie F,3 : 2,1.04,7.25,13.00
22102017,12:00,Kazakhstan F,Bosnie Herzégovine F,0 : 2,2.80,2.70,2.20
22102017,16:00,Israel F,Espagne F,0 : 6,21.00,9.50,1.01
22102017,16:00,Finlande F,Serbie F,1 : 0,1.28,4.10,6.50
23102017,16:00,Israel F,Espagne F,0 : 6,21.00,9.50,1.01
24102017,15:00,Italie F,Roumanie F,3 : 0,1.08,6.00,11.00
24102017,16:10,Allemagne F,Iles Féroé F,11 : 0,-,10.00,20.00
24102017,17:30,Slovaquie F,Irlande F,0 : 2,3.25,2.85,1.90
24102017,18:00,Croatie F,Danemark F,0 : 4,13.00,6.25,1.06
24102017,18:00,Portugal F,Belgique F,0 : 1,4.00,3.40,1.58
24102017,18:00,République Tchèque F,Islande F,1 : 1,3.20,3.20,1.80
24102017,18:00,Russie F,Pays de Galles F,0 : 0,1.62,3.15,4.10
24102017,18:45,Suède F,Hongrie F,5 : 0,1.01,9.00,20.00
24102017,19:00,Pays-Bas F,Norvège F,1 : 0,1.65,3.20,3.90
24102017,20:30,Ecosse F,Albanie F,5 : 0,-,-,-
23112017,20:30,Autriche F,Israel F,2 : 0,1.01,10.00,24.00
25112017,13:00,Finlande F,Israel F,4 : 0,1.03,7.25,16.00
27112017,10:00,Roumanie F,Moldavie F,3 : 1,1.01,10.00,23.00
27112017,13:30,Bosnie Herzégovine F,Pays de Galles F,0 : 1,3.25,2.85,1.90
27112017,17:30,Slovaquie F,Irlande du Nord F,1 : 3,1.62,3.05,4.30
27112017,18:00,Portugal F,Italie F,0 : 1,3.60,3.15,1.72
27112017,19:00,Suisse F,Albanie F,5 : 1,-,-,-
27112017,20:00,Pays-Bas F,Irlande F,0 : 0,1.04,7.25,12.00
27112017,20:05,Angleterre F,Kazakhstan F,5 : 0,-,-,-
27112017,20:15,Espagne F,Autriche F,4 : 0,1.42,3.25,5.75
