date,horaire,team_home,team_away,score,cote1,coteN,cote2
09112017,20:45,Croatie,Grèce,4 : 1,1.33,4.00,11.00
09112017,20:45,Irlande du Nord,Suisse,0 : 1,3.80,2.85,2.10
10112017,20:45,Suède,Italie,1 : 0,3.60,3.00,2.10
10112017,23:00,Honduras,Australie,0 : 0,2.20,2.90,3.25
11112017,20:45,Danemark,Irlande,0 : 0,1.62,3.35,5.75
11112017,04:15,Nouvelle-Zélande,Pérou,0 : 0,6.25,3.50,1.50
12112017,18:00,Suisse ,Irlande du Nord,0 : 0,1.40,3.75,9.00
12112017,20:45,Grèce,Croatie ,0 : 0,3.70,3.25,1.95
12112017,20:45,Italie,Suède,0 : 0,1.42,4.00,8.00
12112017,18:00,Suisse ,Irlande du Nord,0 : 0,1.40,3.75,9.00
12112017,20:45,Grèce,Croatie ,0 : 0,3.70,3.25,1.95
13112017,20:45,Italie,Suède ,0 : 0,1.42,4.00,8.00
