date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,13:30,Colombia -17,Allemagne -17 ,0 : 4,-,-,-
16102017,16:30,Paraguay -17,USA -17 ,0 : 5,-,-,-
17102017,13:30,France -17,Espagne -17 ,1 : 2,-,-,-
17102017,13:30,Iran -17 ,Mexique -17,2 : 1,-,-,-
17102017,16:30,Angleterre -17 ,Japon -17,1 : 0(0 : 0),-,-,-
17102017,16:30,Mali -17 ,Iraq -17,5 : 1,-,-,-
18102017,13:30,Ghana -17 ,Niger -17,2 : 0,-,-,-
18102017,16:30,Brésil -17 ,Honduras -17,3 : 0,-,-,-
22102017,13:30,Mali -17 ,Ghana -17,2 : 1,-,-,-
22102017,16:30,USA -17 ,Angleterre -17 ,1 : 4,-,-,-
22102017,13:30,Espagne -17 ,Iran -17,3 : 1,-,-,-
22102017,16:30,Allemagne -17,Brésil -17 ,1 : 2,-,-,-
