date,horaire,team_home,team_away,score,cote1,coteN,cote2
16112017,21:30,Sporting ,Famalicao,2 : 0,1.15,5.00,10.00
17112017,21:30,FC Porto ,Portimonense ,3 : 2,1.09,5.75,13.00
18112017,19:15,Benfica ,Setubal,2 : 0,1.13,5.25,11.00
18112017,21:30,Rio Ave  ,Braga,1 : 0,2.50,2.75,2.45
19112017,15:30,AD Oliveirense,Maritimo ,2 : 3 (2 : 2),7.00,3.75,1.32
19112017,16:00,Academica  ,Nacional,1 : 0,1.95,2.80,3.40
19112017,16:00,Caldas ,Arouca,2 : 1 (1 : 1),3.60,2.95,1.80
19112017,16:00,Farense ,Leixoes,2 : 1,2.65,2.70,2.35
19112017,16:00,Leiria,Aves ,0 : 3,4.60,3.10,1.58
19112017,16:00,Moreirense ,Felgueiras,5 : 2,1.20,4.30,9.25
19112017,16:00,U. Madeira ,Freamunde,4 : 2,1.65,3.05,4.30
19112017,16:00,Vizela,Vilaverdense ,2 : 3 (1 : 1),1.68,3.05,4.10
19112017,17:00,Santa Clara ,Chaves,2 : 0,2.35,2.75,2.60
19112017,17:00,SC Praiense ,Vilafranquense,3 : 2 (1 : 1),2.30,2.80,2.65
19112017,17:00,Sporting Ideal,CD Cova da Piedade ,1 : 4,2.75,2.80,2.25
19112017,21:15,Guimaraes ,Feirense ,2 : 1,1.62,3.10,4.40
