date,horaire,team_home,team_away,score,cote1,coteN,cote2
24102017,19:30,Cartagena,FC Séville,0 : 3,11.50,5.75,1.18
24102017,19:30,Numancia,Malaga,2 : 1,2.40,2.90,2.85
24102017,20:30,Getafe,Alaves,0 : 1,1.72,3.20,4.60
24102017,20:30,Zaragosse,Valence,0 : 2,5.25,3.90,1.50
24102017,21:30,Cadiz,Betis,1 : 2,3.25,3.15,2.05
24102017,21:30,Murcia,Barcelone,0 : 3,14.00,6.50,1.13
25102017,19:00,Formentera,Ath. Bilbao,1 : 1,9.75,4.50,1.27
25102017,20:30,Ponferradina,Villarreal,1 : 0,11.00,5.00,1.22
25102017,20:30,Valladolid,Leganes,1 : 2,2.70,2.95,2.50
25102017,21:30,Eibar,Celta Vigo,1 : 2,2.75,3.05,2.40
25102017,21:30,Elche,Atl. Madrid,1 : 1,14.00,5.50,1.17
