date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,14:30,ACV Assen,Scheveningen,5 : 2,-,-,-
22102017,14:30,DVS '33 Ermelo,Harkemase Boys,0 : 1,-,-,-
22102017,14:30,Jong Volendam,Jong FC Twente,1 : 4,-,-,-
22102017,14:30,Magreb,Jong Groningen,0 : 3,-,-,-
22102017,14:30,ODIN '59,Spakenburg,1 : 0,-,-,-
22102017,14:30,VV DOVO,VVOG ,1 : 0,-,-,-
22102017,15:00,Almere 2,Spijkenisse,8 : 1,-,-,-
22102017,15:00,ASWH,Capelle,1 : 0,-,-,-
22102017,15:00,ONS Sneek,Quick Boys,1 : 4,-,-,-
22102017,14:00,ADO 20 Heemskerk ,Be Quick 1887,4 : 4,-,-,-
22102017,14:00,HV & CV Quick,Westlandia,2 : 2,-,-,-
22102017,14:00,JVC '31 Cuijk,Oostzaan,0 : 3,-,-,-
22102017,14:00,KVV Quick 20,EVV,1 : 1,-,-,-
22102017,14:30,Blauw Geel,De Meern,1 : 3,-,-,-
22102017,14:30,Dongen,Rosmalen,4 : 0,-,-,-
22102017,14:30,Hsc 21,USV Hercules,0 : 2,-,-,-
22102017,14:30,Jong De Graafschap,HBS,2 : 1,-,-,-
22102017,14:30,Jong Vitesse,UNA,5 : 0,-,-,-
