date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,17:00,Rodez F,Soyaux F,1 : 1,-,-,-
28102017,18:45,Lyon F,Lille F,6 : 0,-,-,-
28102017,18:45,Paris FC F,Montpellier F,1 : 2,-,-,-
29102017,15:00,Fleury 91 F,Paris SG F,0 : 2,-,-,-
29102017,15:00,Guingamp F,Bordeaux F,0 : 1,-,-,-
29102017,15:00,Marseille F ,Albi F,1 : 2,-,-,-
04112017,15:00,Bordeaux F,Paris FC F,2 : 3,-,-,-
04112017,17:00,Albi F,Lyon F,0 : 5,-,-,-
04112017,21:00,Paris SG F,Montpellier F,3 : 1,-,-,-
05112017,13:00,Lille F,Rodez F,0 : 2,-,-,-
05112017,15:00,Fleury 91 F,Marseille F,2 : 1,-,-,-
05112017,15:00,Soyaux F,Guingamp F,1 : 2,-,-,-
