date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,15:00,Carlstad ,Arameisk-Syrianska ,1 : 0,-,-,-
22102017,15:00,Umeå,Nykopings,0 : 1,-,-,-
22102017,19:00,Brage,Sandvikens,0 : 0,-,-,-
22102017,14:00,Team TG FF,Akropolis,4 : 0,-,-,-
22102017,15:00,Vasalunds,IFK Lulea,6 : 2,-,-,-
22102017,16:00,Assyriska FF,Sollentuna,2 : 1,-,-,-
22102017,16:00,Västerås SK,Enskede,2 : 1,-,-,-
23102017,19:00,Brage,Sandvikens,0 : 0,-,-,-
29102017,13:00,Nykopings,Sollentuna,2 : 1,-,-,-
29102017,14:00,Umeå,Enskede,7 : 1,-,-,-
29102017,15:00,Akropolis,Sandvikens,4 : 2,-,-,-
29102017,15:00,Arameisk-Syrianska ,Assyriska FF,3 : 2,-,-,-
29102017,15:00,IFK Lulea,Carlstad,3 : 2,-,-,-
29102017,16:00,Västerås SK,Team TG FF,2 : 1,-,-,-
29102017,17:00,Brage,Vasalunds,3 : 3,-,-,-
