date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,16:00,FK Strogino Moscow,Saturn Ramenskoye,2 : 1,-,-,-
22102017,13:00,Kaluga,Ararat Moscow,0 : 1,-,-,-
22102017,13:00,Saratov,Ryazan,0 : 3,-,-,-
22102017,14:00,Energomash Belgorod,D. Bryansk,4 : 0,-,-,-
22102017,14:00,Saturn Ramenskoye,Krasnogorsk,1 : 0,-,-,-
22102017,13:00,M. Lipetsk,T. Moscou,2 : 1,-,-,-
22102017,13:00,R. Volgograd 2 ,Khimik Novomoskovsk,0 : 1,-,-,-
22102017,16:00,FK Strogino Moscow,Penza,4 : 0,-,-,-
27102017,18:00,T. Moscou,Saratov,3 : 1,-,-,-
28102017,12:00,Krasnogorsk,Energomash Belgorod,1 : 1,-,-,-
28102017,13:00,Khimik Novomoskovsk,Kaluga,3 : 0,-,-,-
28102017,14:00,Ararat Moscow,Saturn Ramenskoye,2 : 0,-,-,-
28102017,14:00,D. Bryansk,M. Lipetsk,2 : 0,-,-,-
28102017,14:00,Penza,R. Volgograd 2,1 : 0,-,-,-
28102017,15:00,Ryazan,FK Strogino Moscow,0 : 1,-,-,-
04112017,11:00,R. Volgograd 2,Ryazan,0 : 1,-,-,-
04112017,12:00,Kaluga,Penza,0 : 0,-,-,-
04112017,12:00,Khimik Novomoskovsk,Ararat Moscow,0 : 0,-,-,-
04112017,12:00,Saratov,D. Bryansk,1 : 0,-,-,-
04112017,13:00,Energomash Belgorod,Saturn Ramenskoye,2 : 1,-,-,-
04112017,15:00,FK Strogino Moscow,T. Moscou,2 : 2,-,-,-
05112017,12:00,M. Lipetsk,Krasnogorsk,0 : 4,-,-,-
