date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,13:00,Murom,S. Kostroma,0 : 0,-,-,-
20102017,17:00,Vladimir,Dolgoprudny,1 : 2,-,-,-
22102017,12:00,Znamya Truda,Veles Moscow,1 : 3,-,-,-
22102017,13:00,Kolomna,Dynamo SPB 2,2 : 0,-,-,-
22102017,13:00,Pskov,Tekstilshtik,2 : 1,-,-,-
22102017,14:00,Chertanovo M.,Smolensk,3 : 1,-,-,-
22102017,16:00,Lokomotiv-Kazanka,Luki-Energiya,3 : 1,-,-,-
27102017,17:00,Smolensk,Pskov,1 : 2,-,-,-
27102017,18:00,Lokomotiv-Kazanka,Vladimir,2 : 0,-,-,-
28102017,12:00,Dynamo SPB 2,Chertanovo M.,0 : 2,-,-,-
28102017,13:00,S. Kostroma,Znamya Truda,4 : 1,-,-,-
28102017,14:00,Veles Moscow,Luki-Energiya ,2 : 1,-,-,-
28102017,15:00,Dolgoprudny,Kolomna,4 : 1,-,-,-
28102017,16:00,Tekstilshtik,Murom,0 : 0,-,-,-
04112017,11:00,Murom,Smolensk,0 : 1,-,-,-
04112017,12:00,Kolomna,Lokomotiv-Kazanka,1 : 3,-,-,-
04112017,12:00,Pskov,Dynamo SPB 2,3 : 0,-,-,-
04112017,13:00,Luki-Energiya,Znamya Truda,2 : 0,-,-,-
04112017,13:00,Tekstilshtik,S. Kostroma,2 : 0,-,-,-
04112017,13:00,Vladimir,Veles Moscow,1 : 0,-,-,-
10112017,11:00,Znamya Truda,Vladimir,0 : 6,-,-,-
