date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,16:30,Lada Togliatti,Orenburg 2,0 : 0,-,-,-
22102017,12:00,Chelyabinsk,Ural 2,2 : 0,-,-,-
22102017,13:00,Neftekhimik,Nosta,0 : 1,-,-,-
22102017,13:00,Samara 2,Anzhi-Junior Zelenodolsk,1 : 1,-,-,-
22102017,13:00,Zenit-Izhevsk ,Kamaz,1 : 0,-,-,-
22102017,16:00,Ulyanovsk,Syzran,0 : 0,-,-,-
28102017,12:00,Orenburg 2,Ulyanovsk,0 : 1,-,-,-
28102017,12:00,Ural 2,Lada Togliatti,2 : 3,-,-,-
28102017,13:00,Samara 2,Zenit-Izhevsk,0 : 2,-,-,-
28102017,15:00,Kamaz,Nosta,1 : 0,-,-,-
28102017,15:00,M. Saransk,Chelyabinsk,3 : 0,-,-,-
28102017,15:00,Syzran,Anzhi-Junior Zelenodolsk,2 : 1,-,-,-
