date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,13:00,Biolog ,Dynamo Stavropol,3 : 2,-,-,-
22102017,13:30,Legion Dynamo ,Kuban 2,1 : 0,-,-,-
22102017,13:30,Nazran,Armavir,3 : 3,-,-,-
22102017,13:30,SKA Rostov,Afips,0 : 1,-,-,-
22102017,14:00,Krasnodar 2 ,Anzhi 2,3 : 1,-,-,-
22102017,14:00,Vladikavkaz,FC Akademia,0 : 1,-,-,-
22102017,15:00,Maykop,Mashuk,1 : 0,-,-,-
22102017,16:00,FK Chayka,Chornomorets,2 : 0,-,-,-
27102017,16:00,FK Chayka,Biolog,0 : 1,-,-,-
28102017,13:00,FC Akademia,Nazran,3 : 0,-,-,-
28102017,13:30,Anzhi 2,Maykop,0 : 1,-,-,-
28102017,14:00,Dynamo Stavropol,Legion Dynamo,0 : 0,-,-,-
28102017,14:00,Kuban 2,Vladikavkaz,3 : 0,-,-,-
28102017,15:00,Chornomorets,Mashuk,2 : 1,-,-,-
28102017,16:00,Afips,Krasnodar 2,2 : 1,-,-,-
29102017,15:00,Armavir,Nalchik ,2 : 0,-,-,-
