date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,14:00,Dacia Chisinau,Zaria Balti,1 : 1,1.70,3.00,3.60
20102017,14:00,Spicul Chiscareni,Sfintul,1 : 1,3.25,2.95,1.80
20102017,16:00,Zimbru,Speranta Nisporeni,2 : 1,1.65,2.85,4.10
22102017,14:00,Petrocub,Milsami,1 : 0,5.25,3.20,1.42
22102017,14:00,Dinamo-Auto,S. Tiraspol,0 : 4,9.25,4.75,1.13
28102017,14:00,Dacia Chisinau,Spicul Chiscareni,2 : 2,1.13,4.40,11.50
28102017,14:00,S. Tiraspol,Sfintul,1 : 1,-,-,-
28102017,14:00,Zaria Balti,Zimbru,3 : 0,1.45,3.25,4.90
29102017,13:00,Milsami,Dinamo-Auto,2 : 1,-,-,-
29102017,13:00,Speranta Nisporeni,Petrocub,0 : 0,2.25,2.85,2.45
04112017,13:00,Dinamo-Auto,Speranta Nisporeni,0 : 3,-,-,-
04112017,13:00,Petrocub,Zaria Balti,1 : 1,-,-,-
03112017,13:00,Sfintul ,Milsami,0 : 3,4.70,3.60,1.40
03112017,13:00,Zimbru,Dacia Chisinau,2 : 0,3.90,2.95,1.65
06112017,12:00,Spicul Chiscareni,S. Tiraspol,0 : 4,14.00,7.50,1.05
06112017,12:00,Spicul Chiscareni,S. Tiraspol,0 : 4,14.00,7.50,1.05
18112017,12:00,Dacia Chisinau,Petrocub,0 : 2,1.62,3.40,3.50
18112017,12:00,Milsami,S. Tiraspol,0 : 2,2.45,2.85,2.25
18112017,12:00,Speranta Nisporeni,Sfintul,0 : 0,1.72,2.85,3.70
18112017,12:00,Zaria Balti,Dinamo-Auto,6 : 0,1.38,3.50,5.25
18112017,12:00,Zimbru ,Spicul Chiscareni,1 : 1,1.50,3.00,4.90
25112017,12:00,Dinamo-Auto,Dacia Chisinau,3 : 2,4.30,3.15,1.55
25112017,12:00,Petrocub,Zimbru,4 : 1,1.55,3.15,4.30
25112017,12:00,S. Tiraspol,Speranta Nisporeni,0 : 1,1.07,6.50,11.00
25112017,12:00,Sfintul,Zaria Balti,2 : 1,5.00,3.30,1.42
25112017,12:00,Spicul Chiscareni,Milsami,0 : 2,5.00,3.50,1.40
