date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,11:00,M. Zaporozhye,Sudnobudivnyk Mykolaiv,0 : 5,-,-,-
16102017,14:00,Inhulets 2,Real Pharma,1 : 1,-,-,-
16102017,14:00,Mykolaiv 2,Nova Kakhovka,1 : 4,-,-,-
20102017,13:00,Sudnobudivnyk Mykolaiv,Tavriya,0 : 0,-,-,-
20102017,14:00,Real Pharma,Dnipro-1,0 : 3,-,-,-
20102017,15:00,Lviv,Skala Stryj,1 : 1,-,-,-
22102017,14:00,Dnipro,M. Zaporozhye,5 : 0,-,-,-
22102017,14:00,Nikopol,Metalist 1925 Kharkiv,0 : 4,-,-,-
22102017,14:00,Nyva Ternopil,Podillya Khmelnytskyi ,2 : 0,-,-,-
22102017,14:00,Nyva-V,Bila Tserkva,1 : 0,-,-,-
22102017,14:00,Zhytomyr,Ivano-Frankivsk ,2 : 0,-,-,-
22102017,14:00,Bukovyna ,Ahrobiznes Volochysk,1 : 2,-,-,-
22102017,14:00,Hornostayivka,Mykolaiv 2,1 : 0,-,-,-
22102017,14:00,Nova Kakhovka,Inhulets 2,2 : 0,-,-,-
25102017,13:00,Bila Tserkva,Zhytomyr,2 : 3,-,-,-
28102017,13:00,Sudnobudivnyk Mykolaiv,Hornostayivka,0 : 1,-,-,-
28102017,14:00,Podillya Khmelnytskyi,Bukovyna,3 : 0,-,-,-
29102017,12:00,Ahrobiznes Volochysk,Zhytomyr,3 : 2,-,-,-
29102017,12:00,Inhulets 2,Mykolaiv 2,0 : 0,-,-,-
29102017,13:00,Metalist 1925 Kharkiv,Real Pharma,5 : 0,-,-,-
29102017,13:00,Skala Stryj,Nyva Ternopil,0 : 0,-,-,-
29102017,14:00,Ivano-Frankivsk,Nyva-V,1 : 0,-,-,-
30102017,13:00,Bila Tserkva�,Lviv,3�:�0,-,-,-
30102017,13:00,M. Zaporozhye�,Nikopol,0�:�4,-,-,-
30102017,13:00,Tavriya�,Dnipro�,2�:�1,-,-,-
30102017,16:00,Dnipro-1,Nova Kakhovka,2�:�0,-,-,-
04112017,11:00,Nyva Ternopil,Bila Tserkva,1 : 2,-,-,-
04112017,12:00,Zhytomyr,Podillya Khmelnytskyi,0 : 0,-,-,-
04112017,13:00,Dnipro,Sudnobudivnyk Mykolaiv,5 : 0,-,-,-
04112017,13:00,Hornostayivka,Inhulets 2,4 : 0,-,-,-
04112017,13:00,Ivano-Frankivsk,Ahrobiznes Volochysk,2 : 4,-,-,-
04112017,13:00,Real Pharma,M. Zaporozhye,1 : 1,-,-,-
05112017,13:00,Bukovyna ,Skala Stryj,0 : 3,-,-,-
05112017,13:00,Nikopol ,Tavriya,1 : 1,-,-,-
05112017,13:00,Nova Kakhovka,Metalist 1925 Kharkiv,1 : 2,-,-,-
05112017,14:00,Nyva-V,Lviv,1 : 2,-,-,-
03112017,13:00,Mykolaiv 2,Dnipro-1,0 : 3,-,-,-
10112017,12:00,M. Zaporozhye,Nova Kakhovka,0 : 11,-,-,-
10112017,14:00,Dnipro-1,Inhulets 2,3 : 0,-,-,-
11112017,12:00,Sudnobudivnyk Mykolaiv,Nikopol,0 : 2,-,-,-
11112017,13:00,Bila Tserkva,Lviv,0 : 1,-,-,-
11112017,13:00,Dnipro,Hornostayivka,1 : 1,-,-,-
11112017,13:00,Tavriya,Real Pharma,3 : 1,-,-,-
12112017,13:00,Bukovyna,Zhytomyr,2 : 1,-,-,-
12112017,15:00,Metalist 1925 Kharkiv,Mykolaiv 2,0 : 1,-,-,-
12112017,13:00,Bukovyna,Zhytomyr,2 : 1,-,-,-
12112017,15:00,Metalist 1925 Kharkiv,Mykolaiv 2,0 : 1,-,-,-
