date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,14:00,Sundsvall F,Mallbackens F,0 : 1,-,-,-
28102017,14:00,Vaxjo DFF F,Holmalunds F,4 : 0,-,-,-
28102017,15:00,AIK F,Västerås F,0 : 1,-,-,-
28102017,15:00,Kalmar F,Hovas F,7 : 1,-,-,-
28102017,15:00,Kungsbacka F,Umeå IK F,0 : 0,-,-,-
29102017,14:00,Boljan F,Assi F,2 : 0,-,-,-
29102017,15:00,Ostersunds F,Uppsala F,1 : 2,-,-,-
04112017,13:30,Uppsala F,Boljan F,2 : 2,-,-,-
04112017,14:00,Hovas F,AIK F,0 : 1,-,-,-
04112017,14:00,Västerås F,Kungsbacka F,0 : 2,-,-,-
04112017,15:00,Holmalunds F,Kalmar F ,0 : 1,-,-,-
05112017,13:00,Umeå IK F,Mallbackens F,4 : 1,-,-,-
05112017,14:00,Ostersunds F,Sundsvall F,1 : 2,-,-,-
05112017,15:00,Assi F,Vaxjo DFF F,2 : 3,-,-,-
12112017,13:00,AIK F,Holmalunds F,5 : 1,-,-,-
12112017,13:00,Boljan F,Ostersunds F,0 : 1,-,-,-
12112017,13:00,Kalmar F,Assi F,6 : 3,-,-,-
12112017,13:00,Kungsbacka F,Hovas F,1 : 0,-,-,-
12112017,13:00,Mallbackens F,Västerås F,4 : 1,-,-,-
12112017,13:00,Sundsvall F,Umeå IK F,1 : 4,-,-,-
12112017,13:00,Vaxjo DFF F,Uppsala F,5 : 3,-,-,-
12112017,13:00,AIK F,Holmalunds F,5 : 1,-,-,-
12112017,13:00,Boljan F,Ostersunds F,0 : 1,-,-,-
12112017,13:00,Kalmar F,Assi F,6 : 3,-,-,-
12112017,13:00,Kungsbacka F,Hovas F,1 : 0,-,-,-
12112017,13:00,Mallbackens F,Västerås F,4 : 1,-,-,-
12112017,13:00,Sundsvall F,Umeå IK F,1 : 4,-,-,-
12112017,13:00,Vaxjo DFF F,Uppsala F,5 : 3,-,-,-
