date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,20:00,Groningen ,Willem II,0 : 1,1.78,3.20,3.40
22102017,18:30,Breda,Zwolle,0 : 2,2.50,3.05,2.25
22102017,19:45,Excelsior,Sparta Rotterdam,1 : 1,1.85,3.10,3.30
22102017,19:45,Venlo,Den Haag,0 : 2,1.78,3.20,3.40
22102017,20:45,Twente,Roda,3 : 0,1.40,3.80,5.25
22102017,12:30,PSV,Heracles ,3 : 0,1.09,6.50,10.50
22102017,14:30,Alkmaar,Utrecht,3 : 0,1.95,3.30,2.85
22102017,14:30,Feyenoord,Ajax,1 : 4,2.50,3.05,2.25
22102017,16:45,Heerenveen,Vitesse,0 : 4,1.90,3.15,3.05
27102017,20:00,Twente,Excelsior,1 : 3,1.68,3.30,3.75
28102017,18:30,Heracles,Venlo,3 : 0,2.15,3.10,2.60
28102017,18:30,Roda,Feyenoord,1 : 1,8.50,4.50,1.20
28102017,20:45,Willem II,Ajax,1 : 3,7.75,4.60,1.22
28102017,20:45,Zwolle,Den Haag,2 : 0,1.60,3.40,4.00
