date,horaire,team_home,team_away,score,cote1,coteN,cote2
18102017,13:00,Samtredia,Dinamo Batumi,3 : 0,1.60,3.15,3.90
18102017,17:00,Shukura,Chikhura,0 : 1,3.50,2.90,1.75
19102017,11:30,Lokomotiv Tbilisi,Saburtalo Tbilisi,1 : 1,1.95,3.25,2.65
19102017,13:30,Poti,Torpedo Kutaisi ,1 : 2,5.75,3.80,1.32
19102017,18:00,Dila Gori,Din. Tbilisi,1 : 2,3.50,3.20,1.65
22102017,11:00,Poti,Shukura,-,1.85,3.00,3.05
22102017,13:00,Saburtalo Tbilisi,Dila Gori,3 : 1,1.78,3.10,3.15
22102017,16:00,Torpedo Kutaisi,Lokomotiv Tbilisi,4 : 2,1.52,3.25,4.25
22102017,18:00,Din. Tbilisi,Samtredia,0 : 1,1.65,3.25,3.50
22102017,17:00,Dinamo Batumi,Chikhura,1 : 2,2.05,3.00,2.65
23102017,11:00,Poti,Shukura,-,1.85,3.00,3.05
23102017,13:00,Saburtalo Tbilisi,Dila Gori,3 : 1,1.78,3.10,3.15
23102017,16:00,Torpedo Kutaisi,Lokomotiv Tbilisi,4 : 2,1.52,3.25,4.25
23102017,18:00,Din. Tbilisi,Samtredia,0 : 1,1.65,3.25,3.50
28102017,13:00,Samtredia,Saburtalo Tbilisi,0 : 2,1.42,3.30,5.00
28102017,15:00,Dila Gori,Torpedo Kutaisi,1 : 0,4.40,3.30,1.50
28102017,18:00,Chikhura,Din. Tbilisi,1 : 3,4.30,3.40,1.48
29102017,10:00,Lokomotiv Tbilisi ,Poti,1 : 0,1.27,4.00,6.25
29102017,12:00,Shukura,Dinamo Batumi,0 : 0,4.50,3.30,1.48
04112017,10:00,Poti,Dila Gori,1 : 0,2.75,3.05,1.95
04112017,12:00,Lokomotiv Tbilisi,Shukura,2 : 2,3.10,3.20,1.78
05112017,11:30,Saburtalo Tbilisi,Chikhura,1 : 2,1.68,3.20,3.40
05112017,14:00,Din. Tbilisi,Dinamo Batumi,4 : 0,1.18,4.60,7.50
05112017,16:00,Torpedo Kutaisi,Samtredia,2 : 0,1.72,3.00,3.50
18112017,11:00,Samtredia,Poti,5 : 0,1.32,3.75,5.75
18112017,11:00,Shukura,Din. Tbilisi,0 : 1,7.75,4.80,1.16
18112017,13:00,Chikhura,Torpedo Kutaisi,1 : 3,4.00,3.10,1.60
18112017,15:00,Dila Gori ,Lokomotiv Tbilisi,2 : 1,2.25,2.90,2.45
18112017,17:00,Dinamo Batumi,Saburtalo Tbilisi,1 : 2,2.40,2.90,2.30
22112017,11:00,Dila Gori,Shukura,0 : 1,1.45,3.50,4.50
22112017,11:00,Lokomotiv Tbilisi,Samtredia,2 : 5,1.80,3.15,3.05
22112017,11:00,Poti,Chikhura,0 : 4,3.70,3.30,1.60
22112017,11:00,Saburtalo Tbilisi,Din. Tbilisi,0 : 0,2.85,3.00,1.95
22112017,11:00,Torpedo Kutaisi,Dinamo Batumi,2 : 0,1.13,4.75,9.25
25112017,11:00,Chikhura,Lokomotiv Tbilisi,1 : 0,1.78,3.20,3.10
25112017,11:00,Dinamo Batumi,Poti,1 : 2,2.20,2.95,2.45
25112017,11:00,Shukura,Saburtalo Tbilisi,1 : 2,3.60,3.30,1.62
25112017,14:00,Din. Tbilisi,Torpedo Kutaisi ,0 : 1,2.50,2.75,2.30
24112017,11:00,Samtredia,Dila Gori,2 : 2,1.24,4.20,6.50
