date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,18:30,A. Lustenau,Wattens,2 : 0,-,-,-
20102017,18:30,FAC Wien,Liefering,2 : 2,-,-,-
20102017,18:30,Hartberg,BW Linz,2 : 0,-,-,-
20102017,18:30,Neustadt,Kapfenberg,4 : 2,-,-,-
20102017,20:30,Innsbruck,Ried ,1 : 1,-,-,-
30102017,18:30,Liefering,Innsbruck,1�:�0,2.39,3.50,2.79
31102017,18:30,BW Linz,A. Lustenau,1 : 2,-,-,-
31102017,18:30,Kapfenberg,FAC Wien,4 : 1,-,-,-
31102017,18:30,Ried,Hartberg,2 : 3,-,-,-
31102017,18:30,Wattens,Neustadt,0 : 1,-,-,-
03112017,18:30,A. Lustenau,Liefering,2 : 4,-,-,-
03112017,18:30,FAC Wien,BW Linz,0 : 0,-,-,-
03112017,18:30,Kapfenberg ,Hartberg,0 : 2,-,-,-
03112017,18:30,Neustadt,Innsbruck,0 : 1,-,-,-
03112017,20:30,Wattens,Ried,1 : 2,-,-,-
