date,horaire,team_home,team_away,score,cote1,coteN,cote2
19102017,18:00,Levadia -21,Tallinna Kalev,0 : 2,-,-,-
19102017,18:00,Santos Tartu,Flora -21,2 : 3,-,-,-
22102017,15:00,Kuressaare,Tartu Welco,0 : 2,-,-,-
22102017,12:00,Elva ,Infonet Tallinn II ,1 : 2,-,-,-
22102017,12:00,Maardu,Rakvere,4 : 1,-,-,-
26102017,18:00,Tallinna Kalev,Tartu Welco,4 : 1,-,-,-
28102017,12:00,Elva,Santos Tartu,0 : 3,-,-,-
29102017,12:00,Flora -21,Levadia -21,0 : 4,-,-,-
29102017,12:00,Kuressaare,Maardu,0 : 1,-,-,-
29102017,12:00,Rakvere,Infonet Tallinn II,1 : 1,-,-,-
