date,horaire,team_home,team_away,score,cote1,coteN,cote2
08112017,14:00,Croatie -21,San Marin -21,5 : 0,1.01,10.50,25.00
09112017,15:00,Azerbaijan -21,Allemagne -21,0 : 7,15.00,8.50,1.02
09112017,19:00,France -21,Bulgarie -21,3 : 0,1.05,6.50,13.00
09112017,19:00,Kosovo -21,Israel -21,0 : 4,2.30,2.90,2.50
09112017,19:00,Slovénie -21,Montenegro -21,2 : 0,1.55,3.30,4.25
09112017,19:30,Espagne -21,Islande -21,1 : 0,1.05,6.50,13.00
09112017,20:00,Belgique -21,Chypre -21,3 : 2,1.08,6.00,12.00
10112017,12:00,Arménie -21,Russie -21,1 : 2,10.00,4.70,1.15
10112017,15:00,Malte -21,Turquie -21,0 : 1,6.00,3.80,1.32
10112017,17:00,Géorgie -21,Finlande -21,2 : 2,2.70,2.90,2.15
10112017,17:00,Hongrie -21,Suède -21,2 : 2,2.95,3.00,1.95
10112017,17:00,Ukraine -21,Angleterre -21,0 : 2,4.10,3.15,1.62
10112017,17:45,Iles Féroé -21,Pologne -21 ,2 : 2,8.25,4.50,1.20
10112017,18:00,Albanie -21,Irlande du Nord -21,1 : 1,1.95,2.85,3.10
10112017,18:00,Roumanie -21,Portugal -21,1 : 1,4.00,3.25,1.60
10112017,18:30,Autriche -21,Serbie -21,1 : 3,2.20,2.90,2.65
10112017,18:30,Pays-Bas -21,Andorre -21,8 : 0,-,-,-
10112017,19:00,Pays de Galles -21,Bosnie Herzégovine -21,0 : 4,1.80,3.05,3.40
10112017,20:30,Ecosse -21,Lettonie -21 ,1 : 1,1.18,4.50,9.00
11112017,15:30,République Tchèque -21,San Marin -21,3 : 1,-,-,-
12112017,15:30,Grèce -21 ,Croatie -21,1 : 1,2.45,2.80,2.40
12112017,18:45,Slovénie -21 ,France -21,1 : 3,6.00,3.90,1.32
