date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:30,Chelmsford,Bath City,-,1.91,3.60,3.40
17102017,20:45,Billericay ,Brackley,2 : 1,-,-,-
17102017,20:45,Boston,Chorley,-,-,-,-
17102017,20:45,Bromley ,Dover,3 : 0,-,-,-
17102017,20:45,Concord,Woking ,1 : 2(1 : 1),-,-,-
17102017,20:45,Ebbsfleet ,East Thurrock,3 : 0,-,-,-
17102017,20:45,Enfield Town,Maidstone ,1 : 3(1 : 1),-,-,-
17102017,20:45,Kettering,Nantwich ,0 : 1,-,-,-
17102017,20:45,Leyton Orient ,Dagenham & Red.,1 : 0,-,-,-
17102017,20:45,Ossett,Solihull ,1 : 2,-,-,-
