date,horaire,team_home,team_away,score,cote1,coteN,cote2
25112017,16:00,Kingstonian,Heybridge,2 : 2,-,-,-
24112017,16:00,Alfreton,Altrincham ,0 : 2,-,-,-
24112017,16:00,Blyth Spartans ,Stalybridge,2 : 1,-,-,-
24112017,16:00,Boston,Kidderminster,2 : 2,-,-,-
24112017,16:00,Brackley ,Salford,4 : 0,-,-,-
24112017,16:00,Bradford PA,Stourbridge,1 : 1,-,-,-
24112017,16:00,Braintree ,Cray,3 : 0,-,-,-
24112017,16:00,Brentwood,Dartford ,1 : 2,-,-,-
24112017,16:00,Chesham ,Gloucester ,2 : 1,-,-,-
24112017,16:00,Cleethorpes,Spennymoor ,1 : 2,-,-,-
24112017,16:00,East Thurrock ,Shortwood,3 : 1,-,-,-
24112017,16:00,Eastbourne ,Royston,1 : 1,-,-,-
24112017,16:00,Gainsborough ,Stafford,2 : 0,-,-,-
24112017,16:00,Glossop,Workington,0 : 0,-,-,-
24112017,16:00,Grantham Town,Chorley ,3 : 4,-,-,-
24112017,16:00,Hampton & Richmond ,Harlow Town,5 : 1,-,-,-
24112017,16:00,Haringey Borough ,Thame,3 : 1,-,-,-
24112017,16:00,Havant & W  ,Dorking,3 : 1,-,-,-
24112017,16:00,Hemel Hempstead,Bognor,1 : 1,-,-,-
24112017,16:00,Hendon,Slough,1 : 1,-,-,-
24112017,16:00,Hungerford ,Billericay ,0 : 2,-,-,-
24112017,16:00,Lancaster ,Mildenhall,1 : 0,-,-,-
24112017,16:00,Leamington ,Curzon Ashton,3 : 1,-,-,-
24112017,16:00,Lewes,Truro ,1 : 3,-,-,-
24112017,16:00,Marine ,United of Manchester,1 : 0,-,-,-
24112017,16:00,Metropolitan Police,Wingate & Finchley ,0 : 1,-,-,-
24112017,16:00,Nuneaton ,North Ferriby,5 : 1,-,-,-
24112017,16:00,Oxford City,Hereford ,1 : 2,-,-,-
24112017,16:00,St. Albans ,Poole Town,3 : 1,-,-,-
24112017,16:00,Stockport,Southport,2 : 2,-,-,-
24112017,16:00,Tamworth,Warrington,2 : 2,-,-,-
24112017,16:00,Taunton ,Concord,3 : 2,-,-,-
24112017,16:00,Telford ,Droylsden,4 : 2,-,-,-
24112017,16:00,Wealdstone,Chelmsford,1 : 1,-,-,-
24112017,16:00,Welling,Weston ,0 : 1,-,-,-
24112017,16:00,Whitehawk ,Chippenham Town,2 : 1,-,-,-
24112017,16:00,York ,Coalville,3 : 1,-,-,-
26112017,20:45,Stourbridge,Bradford PA,-,-,-,-
27112017,20:45,Bath City,Margate,0 : 0,-,-,-
27112017,20:45,Bognor  ,Hemel Hempstead ,1 : 0,-,-,-
27112017,20:45,Kidderminster ,Boston,2 : 0,-,-,-
27112017,20:45,Royston,Eastbourne ,2 : 3 (2 : 2),-,-,-
27112017,20:45,Slough,Hendon ,1 : 2 (1 : 1),-,-,-
27112017,20:45,Warrington ,Tamworth,3 : 0,-,-,-
27112017,21:00,Workington ,Glossop,5 : 1,-,-,-
28112017,20:30,Chelmsford ,Wealdstone ,1 : 2,-,-,-
28112017,20:45,Farnborough,Hartley Wintney ,1 : 2,-,-,-
28112017,20:45,Heybridge ,Kingstonian,5 : 1,-,-,-
28112017,20:45,Southport,Stockport ,0 : 3,-,-,-
04122017,20:45,Margate,Bath City ,2 : 3 (2 : 2),3.29,3.60,1.95
