date,horaire,team_home,team_away,score,cote1,coteN,cote2
18102017,15:30,Olympia Prague,Hradec Kralove,1 : 1,-,-,-
22102017,10:15,Olympia Prague,Vitkovice,0 : 2,-,-,-
22102017,10:15,Trinec,Pardubice,1 : 0,-,-,-
22102017,15:30,Pribram,Usti n. L.,4 : 0,-,-,-
22102017,16:00,Hradec Kralove,Sokolov,0 : 1,-,-,-
22102017,16:15,Ceske Budejovice,Opava ,2 : 1,-,-,-
22102017,10:15,Zizkov,Znojmo,2 : 1,-,-,-
22102017,15:30,Varnsdorf,Frydek-Mistek,1 : 0,-,-,-
22102017,15:30,Vlasim,Mas Taborsko ,2 : 2,-,-,-
27102017,16:00,Vitkovice,Frydek-Mistek,5 : 0,-,-,-
27102017,18:00,Usti n. L.,Hradec Kralove,1 : 1,-,-,-
28102017,10:15,Pardubice ,Varnsdorf,3 : 2,-,-,-
28102017,10:15,Trinec,Zizkov,1 : 0,-,-,-
28102017,14:30,Mas Taborsko,Ceske Budejovice,0 : 0,-,-,-
28102017,18:00,Opava,Olympia Prague,5 : 1,-,-,-
29102017,14:30,Sokolov,Pribram,1 : 0,-,-,-
31102017,18:00,Znojmo,Vlasim,3 : 2,-,-,-
04112017,10:15,Olympia Prague,Usti n. L.,1 : 3,-,-,-
04112017,14:00,Frydek-Mistek,Sokolov,0 : 0,-,-,-
04112017,14:00,Hradec Kralove,Vitkovice,2 : 0,-,-,-
04112017,15:15,Pribram,Opava,3 : 1,-,-,-
05112017,10:15,Zizkov,Mas Taborsko,0 : 2,-,-,-
05112017,14:00,Varnsdorf,Znojmo,3 : 0,-,-,-
05112017,14:00,Vlasim,Trinec,2 : 3,-,-,-
05112017,17:00,Ceske Budejovice,Pardubice,0 : 0,-,-,-
10112017,17:00,Vitkovice,Opava,1 : 2,-,-,-
17112017,10:15,Pardubice,Pribram,1 : 2,-,-,-
17112017,13:00,Opava,Hradec Kralove,3 : 2,-,-,-
17112017,18:00,Usti n. L.,Frydek-Mistek,0 : 1,-,-,-
17112017,19:30,Znojmo,Olympia Prague,2 : 1,-,-,-
18112017,10:15,Trinec,Ceske Budejovice,1 : 1,-,-,-
18112017,13:30,Mas Taborsko,Varnsdorf,1 : 2,-,-,-
19112017,10:15,Zizkov,Vlasim,0 : 1,-,-,-
19112017,13:30,Sokolov,Vitkovice,1 : 0,-,-,-
25112017,10:15,Olympia Prague,Mas Taborsko,1 : 0,-,-,-
25112017,13:30,Sokolov,Usti n. L.,3 : 0,-,-,-
25112017,13:30,Varnsdorf,Zizkov,3 : 2,-,-,-
24112017,13:30,Frydek-Mistek,Pardubice,0 : 2,-,-,-
24112017,13:30,Pribram,Trinec,2 : 1,-,-,-
24112017,14:00,Hradec Kralove,Znojmo,1 : 1,-,-,-
24112017,16:15,Ceske Budejovice,Vlasim ,0 : 2,-,-,-
