date,horaire,team_home,team_away,score,cote1,coteN,cote2
04112017,14:30,Cape Town All Stars,Real Kings,0 : 1,-,-,-
04112017,14:30,Highlands,Stellenbosch,3 : 0,-,-,-
04112017,14:30,Mthatha Bucks,Super Eagles,1 : 1,-,-,-
04112017,14:30,Richards Bay,Mbombela,0 : 0,-,-,-
04112017,14:30,Tshakhuma,Ubuntu Cape Town,1 : 0,-,-,-
04112017,14:30,Witbank,Royal Eagles,1 : 1,-,-,-
05112017,14:30,Jomo Cosmos,Black Leopards,2 : 1,-,-,-
05112017,14:30,Pretoria U.,Uthongathi,1 : 0,-,-,-
18112017,14:30,Black Leopards,Mthatha Bucks,2 : 0,-,-,-
18112017,14:30,Mbombela,Tshakhuma,3 : 0,-,-,-
18112017,14:30,Pretoria U.,Ubuntu Cape Town,0 : 0,-,-,-
18112017,14:30,Richards Bay,Witbank,0 : 0,-,-,-
18112017,14:30,Royal Eagles,Real Kings,0 : 2,-,-,-
18112017,14:30,Uthongathi,Highlands,0 : 1,-,-,-
19112017,14:30,Stellenbosch,Jomo Cosmos,2 : 2,-,-,-
19112017,14:30,Super Eagles,Cape Town All Stars,1 : 0,-,-,-
25112017,14:30,Jomo Cosmos,Mbombela,4 : 1,-,-,-
25112017,14:30,Mthatha Bucks,Ubuntu Cape Town,1 : 4,-,-,-
25112017,14:30,Real Kings,Stellenbosch,-,-,-,-
24112017,14:30,Highlands,Witbank,0 : 0,-,-,-
24112017,14:30,Pretoria U.,Richards Bay,3 : 0,-,-,-
24112017,14:30,Super Eagles,Black Leopards,1 : 2,-,-,-
24112017,14:30,Tshakhuma,Royal Eagles,2 : 2,-,-,-
30112017,14:30,Stellenbosch,Super Eagles,1 : 0,-,-,-
02122017,14:30,Mbombela,Mthatha Bucks,2 : 1,-,-,-
02122017,14:30,Uthongathi,Real Kings,2 : 0,-,-,-
01122017,14:30,Pretoria U.,Tshakhuma,1 : 2,-,-,-
01122017,14:30,Richards Bay,Highlands,0 : 3,-,-,-
01122017,14:30,Royal Eagles,Black Leopards,1 : 1,-,-,-
01122017,14:30,Ubuntu Cape Town,Cape Town All Stars ,0 : 2,-,-,-
01122017,14:30,Witbank,Jomo Cosmos,2 : 2,-,-,-
