date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,15:00,Dun. Streda,Trencin,1 : 2,1.95,3.00,2.85
22102017,17:00,Michalovce,Nitra,0 : 0,2.25,2.85,2.45
22102017,17:00,Senica,Ruzomberok,0 : 3,4.60,3.30,1.48
22102017,17:00,Trnava,Podbrezova,2 : 0,1.25,4.10,6.50
22102017,17:00,Z. Moravce,Slovan Bratislava ,3 : 2,3.20,3.05,1.78
22102017,17:00,Presov,Zilina,0 : 1,6.00,4.10,1.27
28102017,15:00,Zilina,Z. Moravce,2 : 0,1.18,4.50,7.75
28102017,17:00,Michalovce,Podbrezova ,2 : 1,1.82,2.90,3.30
28102017,17:00,Nitra,Presov,2 : 0,1.45,3.30,4.90
28102017,17:00,Slovan Bratislava,Senica,2 : 2,1.11,5.25,9.00
28102017,18:00,Ruzomberok,Dun. Streda,1 : 1,1.88,2.95,3.05
